cosine,arm64_darwin_clang,arm64_darwin_gcc,amd64_darwin_clang,amd64_darwin_gcc,0.861595,0.871637,FOUND
cosine,arm64_darwin_clang,arm64_darwin_go,amd64_darwin_clang,amd64_darwin_go,0.023740,0.023006,FOUND
cosine,arm64_darwin_clang,arm64_darwin_rs-pure,amd64_darwin_clang,amd64_darwin_rs-pure,0.017924,0.017138,FOUND
cosine,arm64_darwin_clang,arm64_darwin_rs-sys,amd64_darwin_clang,amd64_darwin_rs-sys,0.018187,0.017366,FOUND
cosine,arm64_darwin_clang,arm64_darwin_tgo,amd64_darwin_clang,amd64_darwin_tgo,0.059648,0.100468,FOUND
cosine,arm64_darwin_clang,arm64_linux_clang,amd64_darwin_clang,amd64_linux_clang,0.842814,0.860894,FOUND
cosine,arm64_darwin_clang,arm64_linux_gcc,amd64_darwin_clang,amd64_linux_gcc,0.703657,0.756892,FOUND
cosine,arm64_darwin_clang,arm64_linux_go,amd64_darwin_clang,amd64_linux_go,0.023743,0.022835,FOUND
cosine,arm64_darwin_clang,arm64_linux_rs-pure,amd64_darwin_clang,amd64_linux_rs-pure,0.017845,0.017045,FOUND
cosine,arm64_darwin_clang,arm64_linux_rs-sys,amd64_darwin_clang,amd64_linux_rs-sys,0.018137,0.017317,FOUND
cosine,arm64_darwin_clang,arm64_linux_tgo,amd64_darwin_clang,amd64_linux_tgo,0.049222,0.082214,FOUND
cosine,arm64_darwin_clang,arm64_windows_clang,amd64_darwin_clang,amd64_windows_clang,0.023690,0.028773,FOUND
cosine,arm64_darwin_clang,arm64_windows_gcc,amd64_darwin_clang,amd64_windows_gcc,0.553348,0.520999,FOUND
cosine,arm64_darwin_clang,arm64_windows_go,amd64_darwin_clang,amd64_windows_go,0.034325,0.025166,FOUND
cosine,arm64_darwin_clang,arm64_windows_msvc,amd64_darwin_clang,amd64_windows_msvc,0.445133,0.431746,FOUND
cosine,arm64_darwin_clang,arm64_windows_rs-pure,amd64_darwin_clang,amd64_windows_rs-pure,0.003008,0.002576,FOUND
cosine,arm64_darwin_clang,arm64_windows_rs-sys,amd64_darwin_clang,amd64_windows_rs-sys,0.003076,0.002638,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_go,amd64_darwin_gcc,amd64_darwin_go,0.025446,0.024379,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_rs-pure,amd64_darwin_gcc,amd64_darwin_rs-pure,0.019221,0.018288,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_rs-sys,amd64_darwin_gcc,amd64_darwin_rs-sys,0.019481,0.018557,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_tgo,amd64_darwin_gcc,amd64_darwin_tgo,0.063918,0.107273,FOUND
cosine,arm64_darwin_gcc,arm64_linux_clang,amd64_darwin_gcc,amd64_linux_clang,0.846273,0.849443,FOUND
cosine,arm64_darwin_gcc,arm64_linux_gcc,amd64_darwin_gcc,amd64_linux_gcc,0.771221,0.820714,FOUND
cosine,arm64_darwin_gcc,arm64_linux_go,amd64_darwin_gcc,amd64_linux_go,0.025406,0.024089,FOUND
cosine,arm64_darwin_gcc,arm64_linux_rs-pure,amd64_darwin_gcc,amd64_linux_rs-pure,0.019164,0.018171,FOUND
cosine,arm64_darwin_gcc,arm64_linux_rs-sys,amd64_darwin_gcc,amd64_linux_rs-sys,0.019475,0.018462,FOUND
cosine,arm64_darwin_gcc,arm64_linux_tgo,amd64_darwin_gcc,amd64_linux_tgo,0.052378,0.087117,FOUND
cosine,arm64_darwin_gcc,arm64_windows_clang,amd64_darwin_gcc,amd64_windows_clang,0.025260,0.030264,FOUND
cosine,arm64_darwin_gcc,arm64_windows_gcc,amd64_darwin_gcc,amd64_windows_gcc,0.602527,0.564969,FOUND
cosine,arm64_darwin_gcc,arm64_windows_go,amd64_darwin_gcc,amd64_windows_go,0.036715,0.026596,FOUND
cosine,arm64_darwin_gcc,arm64_windows_msvc,amd64_darwin_gcc,amd64_windows_msvc,0.474687,0.459186,FOUND
cosine,arm64_darwin_gcc,arm64_windows_rs-pure,amd64_darwin_gcc,amd64_windows_rs-pure,0.003207,0.002730,FOUND
cosine,arm64_darwin_gcc,arm64_windows_rs-sys,amd64_darwin_gcc,amd64_windows_rs-sys,0.003281,0.002796,FOUND
cosine,arm64_darwin_go,arm64_darwin_rs-pure,amd64_darwin_go,amd64_darwin_rs-pure,0.588419,0.634250,FOUND
cosine,arm64_darwin_go,arm64_darwin_rs-sys,amd64_darwin_go,amd64_darwin_rs-sys,0.594587,0.641219,FOUND
cosine,arm64_darwin_go,arm64_darwin_tgo,amd64_darwin_go,amd64_darwin_tgo,0.288692,0.201493,FOUND
cosine,arm64_darwin_go,arm64_linux_clang,amd64_darwin_go,amd64_linux_clang,0.025908,0.024297,FOUND
cosine,arm64_darwin_go,arm64_linux_gcc,amd64_darwin_go,amd64_linux_gcc,0.030630,0.026915,FOUND
cosine,arm64_darwin_go,arm64_linux_go,amd64_darwin_go,amd64_linux_go,0.926512,0.907189,FOUND
cosine,arm64_darwin_go,arm64_linux_rs-pure,amd64_darwin_go,amd64_linux_rs-pure,0.596303,0.647159,FOUND
cosine,arm64_darwin_go,arm64_linux_rs-sys,amd64_darwin_go,amd64_linux_rs-sys,0.604423,0.656366,FOUND
cosine,arm64_darwin_go,arm64_linux_tgo,amd64_darwin_go,amd64_linux_tgo,0.349468,0.235888,FOUND
cosine,arm64_darwin_go,arm64_windows_clang,amd64_darwin_go,amd64_windows_clang,0.767728,0.698553,FOUND
cosine,arm64_darwin_go,arm64_windows_gcc,amd64_darwin_go,amd64_windows_gcc,0.039195,0.039381,FOUND
cosine,arm64_darwin_go,arm64_windows_go,amd64_darwin_go,amd64_windows_go,0.624159,0.843462,FOUND
cosine,arm64_darwin_go,arm64_windows_msvc,amd64_darwin_go,amd64_windows_msvc,0.047936,0.047442,FOUND
cosine,arm64_darwin_go,arm64_windows_rs-pure,amd64_darwin_go,amd64_windows_rs-pure,0.106417,0.101167,FOUND
cosine,arm64_darwin_go,arm64_windows_rs-sys,amd64_darwin_go,amd64_windows_rs-sys,0.108811,0.103620,FOUND
cosine,arm64_darwin_rs-pure,arm64_darwin_rs-sys,amd64_darwin_rs-pure,amd64_darwin_rs-sys,0.985272,0.984682,FOUND
cosine,arm64_darwin_rs-pure,arm64_darwin_tgo,amd64_darwin_rs-pure,amd64_darwin_tgo,0.249893,0.155088,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_clang,amd64_darwin_rs-pure,amd64_linux_clang,0.019426,0.018473,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_gcc,amd64_darwin_rs-pure,amd64_linux_gcc,0.023008,0.020374,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_go,amd64_darwin_rs-pure,amd64_linux_go,0.581799,0.656430,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-pure,0.956093,0.823407,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_rs-sys,amd64_darwin_rs-pure,amd64_linux_rs-sys,0.963064,0.814990,FOUND
cosine,arm64_darwin_rs-pure,arm64_linux_tgo,amd64_darwin_rs-pure,amd64_linux_tgo,0.299039,0.181856,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_clang,amd64_darwin_rs-pure,amd64_windows_clang,0.680254,0.554877,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_gcc,amd64_darwin_rs-pure,amd64_windows_gcc,0.029527,0.029928,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_go,amd64_darwin_rs-pure,amd64_windows_go,0.462097,0.599244,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_msvc,amd64_darwin_rs-pure,amd64_windows_msvc,0.036630,0.036449,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-pure,0.152403,0.137316,FOUND
cosine,arm64_darwin_rs-pure,arm64_windows_rs-sys,amd64_darwin_rs-pure,amd64_windows_rs-sys,0.155824,0.140618,FOUND
cosine,arm64_darwin_rs-sys,arm64_darwin_tgo,amd64_darwin_rs-sys,amd64_darwin_tgo,0.252869,0.157144,FOUND
cosine,arm64_darwin_rs-sys,arm64_linux_clang,amd64_darwin_rs-sys,amd64_linux_clang,0.019680,0.018713,FOUND
cosine,arm64_darwin_rs-sys,arm64_linux_gcc,amd64_darwin_rs-sys,amd64_linux_gcc,0.023300,0.020672,FOUND
cosine,arm64_darwin_rs-sys,arm64_linux_go,amd64_darwin_rs-sys,amd64_linux_go,0.587780,0.663669,FOUND
cosine,arm64_darwin_rs-sys,arm64_linux_rs-pure,amd64_darwin_rs-sys,amd64_linux_rs-pure,0.943661,0.820752,FOUND
cosine,arm64_darwin_rs-sys,arm64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-sys,0.957366,0.818861,FOUND
cosine,arm64_darwin_rs-sys,arm64_linux_tgo,amd64_darwin_rs-sys,amd64_linux_tgo,0.302645,0.184300,FOUND
cosine,arm64_darwin_rs-sys,arm64_windows_clang,amd64_darwin_rs-sys,amd64_windows_clang,0.688791,0.562164,FOUND
cosine,arm64_darwin_rs-sys,arm64_windows_gcc,amd64_darwin_rs-sys,amd64_windows_gcc,0.029906,0.030330,FOUND
cosine,arm64_darwin_rs-sys,arm64_windows_go,amd64_darwin_rs-sys,amd64_windows_go,0.467220,0.605848,FOUND
cosine,arm64_darwin_rs-sys,arm64_windows_msvc,amd64_darwin_rs-sys,amd64_windows_msvc,0.037103,0.036928,FOUND
cosine,arm64_darwin_rs-sys,arm64_windows_rs-pure,amd64_darwin_rs-sys,amd64_windows_rs-pure,0.150769,0.135771,FOUND
cosine,arm64_darwin_rs-sys,arm64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-sys,0.154165,0.139038,FOUND
cosine,arm64_darwin_tgo,arm64_linux_clang,amd64_darwin_tgo,amd64_linux_clang,0.064217,0.105347,FOUND
cosine,arm64_darwin_tgo,arm64_linux_gcc,amd64_darwin_tgo,amd64_linux_gcc,0.076358,0.117283,FOUND
cosine,arm64_darwin_tgo,arm64_linux_go,amd64_darwin_tgo,amd64_linux_go,0.259426,0.203837,FOUND
cosine,arm64_darwin_tgo,arm64_linux_rs-pure,amd64_darwin_tgo,amd64_linux_rs-pure,0.248137,0.147446,FOUND
cosine,arm64_darwin_tgo,arm64_linux_rs-sys,amd64_darwin_tgo,amd64_linux_rs-sys,0.252001,0.149713,FOUND
cosine,arm64_darwin_tgo,arm64_linux_tgo,amd64_darwin_tgo,amd64_linux_tgo,0.758508,0.731148,FOUND
cosine,arm64_darwin_tgo,arm64_windows_clang,amd64_darwin_tgo,amd64_windows_clang,0.307769,0.250982,FOUND
cosine,arm64_darwin_tgo,arm64_windows_gcc,amd64_darwin_tgo,amd64_windows_gcc,0.098326,0.173040,FOUND
cosine,arm64_darwin_tgo,arm64_windows_go,amd64_darwin_tgo,amd64_windows_go,0.362567,0.224339,FOUND
cosine,arm64_darwin_tgo,arm64_windows_msvc,amd64_darwin_tgo,amd64_windows_msvc,0.120776,0.211108,FOUND
cosine,arm64_darwin_tgo,arm64_windows_rs-pure,amd64_darwin_tgo,amd64_windows_rs-pure,0.047446,0.023415,FOUND
cosine,arm64_darwin_tgo,arm64_windows_rs-sys,amd64_darwin_tgo,amd64_windows_rs-sys,0.048529,0.023975,FOUND
cosine,arm64_linux_clang,arm64_linux_gcc,amd64_linux_clang,amd64_linux_gcc,0.799451,0.849446,FOUND
cosine,arm64_linux_clang,arm64_linux_go,amd64_linux_clang,amd64_linux_go,0.025506,0.024302,FOUND
cosine,arm64_linux_clang,arm64_linux_rs-pure,amd64_linux_clang,amd64_linux_rs-pure,0.019271,0.018390,FOUND
cosine,arm64_linux_clang,arm64_linux_rs-sys,amd64_linux_clang,amd64_linux_rs-sys,0.019584,0.018680,FOUND
cosine,arm64_linux_clang,arm64_linux_tgo,amd64_linux_clang,amd64_linux_tgo,0.053464,0.089114,FOUND
cosine,arm64_linux_clang,arm64_windows_clang,amd64_linux_clang,amd64_windows_clang,0.025347,0.030621,FOUND
cosine,arm64_linux_clang,arm64_windows_gcc,amd64_linux_clang,amd64_windows_gcc,0.615571,0.572814,FOUND
cosine,arm64_linux_clang,arm64_windows_go,amd64_linux_clang,amd64_windows_go,0.037188,0.026882,FOUND
cosine,arm64_linux_clang,arm64_windows_msvc,amd64_linux_clang,amd64_windows_msvc,0.474009,0.450388,FOUND
cosine,arm64_linux_clang,arm64_windows_rs-pure,amd64_linux_clang,amd64_windows_rs-pure,0.003247,0.002750,FOUND
cosine,arm64_linux_clang,arm64_windows_rs-sys,amd64_linux_clang,amd64_windows_rs-sys,0.003322,0.002816,FOUND
cosine,arm64_linux_gcc,arm64_linux_go,amd64_linux_gcc,amd64_linux_go,0.030067,0.026964,FOUND
cosine,arm64_linux_gcc,arm64_linux_rs-pure,amd64_linux_gcc,amd64_linux_rs-pure,0.022795,0.020117,FOUND
cosine,arm64_linux_gcc,arm64_linux_rs-sys,amd64_linux_gcc,amd64_linux_rs-sys,0.023150,0.020435,FOUND
cosine,arm64_linux_gcc,arm64_linux_tgo,amd64_linux_gcc,amd64_linux_tgo,0.063183,0.098833,FOUND
cosine,arm64_linux_gcc,arm64_windows_clang,amd64_linux_gcc,amd64_windows_clang,0.029872,0.033501,FOUND
cosine,arm64_linux_gcc,arm64_windows_gcc,amd64_linux_gcc,amd64_windows_gcc,0.739912,0.649445,FOUND
cosine,arm64_linux_gcc,arm64_windows_go,amd64_linux_gcc,amd64_windows_go,0.043828,0.029808,FOUND
cosine,arm64_linux_gcc,arm64_windows_msvc,amd64_linux_gcc,amd64_windows_msvc,0.553298,0.494951,FOUND
cosine,arm64_linux_gcc,arm64_windows_rs-pure,amd64_linux_gcc,amd64_windows_rs-pure,0.003852,0.003045,FOUND
cosine,arm64_linux_gcc,arm64_windows_rs-sys,amd64_linux_gcc,amd64_windows_rs-sys,0.003940,0.003119,FOUND
cosine,arm64_linux_go,arm64_linux_rs-pure,amd64_linux_go,amd64_linux_rs-pure,0.587718,0.652961,FOUND
cosine,arm64_linux_go,arm64_linux_rs-sys,amd64_linux_go,amd64_linux_rs-sys,0.595425,0.662201,FOUND
cosine,arm64_linux_go,arm64_linux_tgo,amd64_linux_go,amd64_linux_tgo,0.314006,0.239852,FOUND
cosine,arm64_linux_go,arm64_windows_clang,amd64_linux_go,amd64_windows_clang,0.761456,0.700690,FOUND
cosine,arm64_linux_go,arm64_windows_gcc,amd64_linux_go,amd64_windows_gcc,0.038746,0.039459,FOUND
cosine,arm64_linux_go,arm64_windows_go,amd64_linux_go,amd64_windows_go,0.628553,0.893864,FOUND
cosine,arm64_linux_go,arm64_windows_msvc,amd64_linux_go,amd64_windows_msvc,0.047920,0.047706,FOUND
cosine,arm64_linux_go,arm64_windows_rs-pure,amd64_linux_go,amd64_windows_rs-pure,0.106206,0.103386,FOUND
cosine,arm64_linux_go,arm64_windows_rs-sys,amd64_linux_go,amd64_windows_rs-sys,0.108596,0.105878,FOUND
cosine,arm64_linux_rs-pure,arm64_linux_rs-sys,amd64_linux_rs-pure,amd64_linux_rs-sys,0.982515,0.983715,FOUND
cosine,arm64_linux_rs-pure,arm64_linux_tgo,amd64_linux_rs-pure,amd64_linux_tgo,0.297354,0.174582,FOUND
cosine,arm64_linux_rs-pure,arm64_windows_clang,amd64_linux_rs-pure,amd64_windows_clang,0.673341,0.514958,FOUND
cosine,arm64_linux_rs-pure,arm64_windows_gcc,amd64_linux_rs-pure,amd64_windows_gcc,0.029288,0.029535,FOUND
cosine,arm64_linux_rs-pure,arm64_windows_go,amd64_linux_rs-pure,amd64_windows_go,0.458912,0.599958,FOUND
cosine,arm64_linux_rs-pure,arm64_windows_msvc,amd64_linux_rs-pure,amd64_windows_msvc,0.035921,0.035297,FOUND
cosine,arm64_linux_rs-pure,arm64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-pure,0.154381,0.133421,FOUND
cosine,arm64_linux_rs-pure,arm64_windows_rs-sys,amd64_linux_rs-pure,amd64_windows_rs-sys,0.157857,0.136648,FOUND
cosine,arm64_linux_rs-sys,arm64_linux_tgo,amd64_linux_rs-sys,amd64_linux_tgo,0.301926,0.177340,FOUND
cosine,arm64_linux_rs-sys,arm64_windows_clang,amd64_linux_rs-sys,amd64_windows_clang,0.683286,0.521822,FOUND
cosine,arm64_linux_rs-sys,arm64_windows_gcc,amd64_linux_rs-sys,amd64_windows_gcc,0.029737,0.029996,FOUND
cosine,arm64_linux_rs-sys,arm64_windows_go,amd64_linux_rs-sys,amd64_windows_go,0.465037,0.608683,FOUND
cosine,arm64_linux_rs-sys,arm64_windows_msvc,amd64_linux_rs-sys,amd64_windows_msvc,0.036506,0.035834,FOUND
cosine,arm64_linux_rs-sys,arm64_windows_rs-pure,amd64_linux_rs-sys,amd64_windows_rs-pure,0.152225,0.131594,FOUND
cosine,arm64_linux_rs-sys,arm64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-sys,0.155660,0.134780,FOUND
cosine,arm64_linux_tgo,arm64_windows_clang,amd64_linux_tgo,amd64_windows_clang,0.370901,0.293432,FOUND
cosine,arm64_linux_tgo,arm64_windows_gcc,amd64_linux_tgo,amd64_windows_gcc,0.081467,0.144243,FOUND
cosine,arm64_linux_tgo,arm64_windows_go,amd64_linux_tgo,amd64_windows_go,0.444953,0.261622,FOUND
cosine,arm64_linux_tgo,arm64_windows_msvc,amd64_linux_tgo,amd64_windows_msvc,0.098196,0.171176,FOUND
cosine,arm64_linux_tgo,arm64_windows_rs-pure,amd64_linux_tgo,amd64_windows_rs-pure,0.057095,0.027585,FOUND
cosine,arm64_linux_tgo,arm64_windows_rs-sys,amd64_linux_tgo,amd64_windows_rs-sys,0.058406,0.028251,FOUND
cosine,arm64_windows_clang,arm64_windows_gcc,amd64_windows_clang,amd64_windows_gcc,0.038493,0.049556,FOUND
cosine,arm64_windows_clang,arm64_windows_go,amd64_windows_clang,amd64_windows_go,0.603358,0.755741,FOUND
cosine,arm64_windows_clang,arm64_windows_msvc,amd64_windows_clang,amd64_windows_msvc,0.048539,0.061477,FOUND
cosine,arm64_windows_clang,arm64_windows_rs-pure,amd64_windows_clang,amd64_windows_rs-pure,0.118818,0.084929,FOUND
cosine,arm64_windows_clang,arm64_windows_rs-sys,amd64_windows_clang,amd64_windows_rs-sys,0.121510,0.086968,FOUND
cosine,arm64_windows_gcc,arm64_windows_go,amd64_windows_gcc,amd64_windows_go,0.056423,0.043541,FOUND
cosine,arm64_windows_gcc,arm64_windows_msvc,amd64_windows_gcc,amd64_windows_msvc,0.714602,0.726246,FOUND
cosine,arm64_windows_gcc,arm64_windows_rs-pure,amd64_windows_gcc,amd64_windows_rs-pure,0.004970,0.004502,FOUND
cosine,arm64_windows_gcc,arm64_windows_rs-sys,amd64_windows_gcc,amd64_windows_rs-sys,0.005083,0.004609,FOUND
cosine,arm64_windows_go,arm64_windows_msvc,amd64_windows_go,amd64_windows_msvc,0.069310,0.052660,FOUND
cosine,arm64_windows_go,arm64_windows_rs-pure,amd64_windows_go,amd64_windows_rs-pure,0.078968,0.094161,FOUND
cosine,arm64_windows_go,arm64_windows_rs-sys,amd64_windows_go,amd64_windows_rs-sys,0.080787,0.096423,FOUND
cosine,arm64_windows_msvc,arm64_windows_rs-pure,amd64_windows_msvc,amd64_windows_rs-pure,0.006266,0.005600,FOUND
cosine,arm64_windows_msvc,arm64_windows_rs-sys,amd64_windows_msvc,amd64_windows_rs-sys,0.006410,0.005735,FOUND
cosine,arm64_windows_rs-pure,arm64_windows_rs-sys,amd64_windows_rs-pure,amd64_windows_rs-sys,0.976046,0.974958,FOUND
cosine,arm64_darwin_clang,arm64_darwin_clang,amd64_darwin_clang,amd64_darwin_clang,1.000000,1.000000,FOUND
cosine,arm64_darwin_gcc,arm64_darwin_gcc,amd64_darwin_gcc,amd64_darwin_gcc,1.000000,1.000000,FOUND
cosine,arm64_darwin_go,arm64_darwin_go,amd64_darwin_go,amd64_darwin_go,1.000000,1.000000,FOUND
cosine,arm64_darwin_rs-pure,arm64_darwin_rs-pure,amd64_darwin_rs-pure,amd64_darwin_rs-pure,1.000000,1.000000,FOUND
cosine,arm64_darwin_rs-sys,arm64_darwin_rs-sys,amd64_darwin_rs-sys,amd64_darwin_rs-sys,1.000000,1.000000,FOUND
cosine,arm64_darwin_tgo,arm64_darwin_tgo,amd64_darwin_tgo,amd64_darwin_tgo,1.000000,1.000000,FOUND
cosine,arm64_linux_clang,arm64_linux_clang,amd64_linux_clang,amd64_linux_clang,1.000000,1.000000,FOUND
cosine,arm64_linux_gcc,arm64_linux_gcc,amd64_linux_gcc,amd64_linux_gcc,1.000000,1.000000,FOUND
cosine,arm64_linux_go,arm64_linux_go,amd64_linux_go,amd64_linux_go,1.000000,1.000000,FOUND
cosine,arm64_linux_rs-pure,arm64_linux_rs-pure,amd64_linux_rs-pure,amd64_linux_rs-pure,1.000000,1.000000,FOUND
cosine,arm64_linux_rs-sys,arm64_linux_rs-sys,amd64_linux_rs-sys,amd64_linux_rs-sys,1.000000,1.000000,FOUND
cosine,arm64_linux_tgo,arm64_linux_tgo,amd64_linux_tgo,amd64_linux_tgo,1.000000,1.000000,FOUND
cosine,arm64_windows_clang,arm64_windows_clang,amd64_windows_clang,amd64_windows_clang,1.000000,1.000000,FOUND
cosine,arm64_windows_gcc,arm64_windows_gcc,amd64_windows_gcc,amd64_windows_gcc,1.000000,1.000000,FOUND
cosine,arm64_windows_go,arm64_windows_go,amd64_windows_go,amd64_windows_go,1.000000,1.000000,FOUND
cosine,arm64_windows_msvc,arm64_windows_msvc,amd64_windows_msvc,amd64_windows_msvc,1.000000,1.000000,FOUND
cosine,arm64_windows_rs-pure,arm64_windows_rs-pure,amd64_windows_rs-pure,amd64_windows_rs-pure,1.000000,1.000000,FOUND
cosine,arm64_windows_rs-sys,arm64_windows_rs-sys,amd64_windows_rs-sys,amd64_windows_rs-sys,1.000000,1.000000,FOUND
