X,C,Go,Rust,A,X_B,VS_B
0.758449,1.000000,,,amd64_darwin_clang,amd64_linux_clang,amd64_darwin_gcc
0.758449,0.633639,,,amd64_linux_clang,amd64_darwin_clang,amd64_linux_gcc
0.023378,1.000000,,,amd64_darwin_clang,amd64_windows_clang,amd64_darwin_gcc
0.023378,0.033762,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_gcc
0.023378,0.048350,,,amd64_windows_clang,amd64_darwin_clang,amd64_windows_msvc
0.525691,1.000000,,,amd64_darwin_gcc,amd64_linux_gcc,amd64_darwin_clang
0.525691,0.633639,,,amd64_linux_gcc,amd64_darwin_gcc,amd64_linux_clang
0.331462,1.000000,,,amd64_darwin_gcc,amd64_windows_gcc,amd64_darwin_clang
0.331462,0.033762,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_clang
0.331462,0.472939,,,amd64_windows_gcc,amd64_darwin_gcc,amd64_windows_msvc
0.759745,,0.098321,,amd64_darwin_go,amd64_linux_go,amd64_darwin_tgo
0.759745,,0.121436,,amd64_linux_go,amd64_darwin_go,amd64_linux_tgo
0.692216,,0.098321,,amd64_darwin_go,amd64_windows_go,amd64_darwin_tgo
0.687735,,,0.975277,amd64_darwin_rs-pure,amd64_linux_rs-pure,amd64_darwin_rs-sys
0.687735,,,0.976676,amd64_linux_rs-pure,amd64_darwin_rs-pure,amd64_linux_rs-sys
0.489960,,,0.975277,amd64_darwin_rs-pure,amd64_windows_rs-pure,amd64_darwin_rs-sys
0.489960,,,0.981404,amd64_windows_rs-pure,amd64_darwin_rs-pure,amd64_windows_rs-sys
0.683887,,,0.975277,amd64_darwin_rs-sys,amd64_linux_rs-sys,amd64_darwin_rs-pure
0.683887,,,0.976676,amd64_linux_rs-sys,amd64_darwin_rs-sys,amd64_linux_rs-pure
0.489495,,,0.975277,amd64_darwin_rs-sys,amd64_windows_rs-sys,amd64_darwin_rs-pure
0.489495,,,0.981404,amd64_windows_rs-sys,amd64_darwin_rs-sys,amd64_windows_rs-pure
0.592469,,0.098321,,amd64_darwin_tgo,amd64_linux_tgo,amd64_darwin_go
0.592469,,0.121436,,amd64_linux_tgo,amd64_darwin_tgo,amd64_linux_go
0.024172,0.633639,,,amd64_linux_clang,amd64_windows_clang,amd64_linux_gcc
0.024172,0.033762,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_gcc
0.024172,0.048350,,,amd64_windows_clang,amd64_linux_clang,amd64_windows_msvc
0.477283,0.633639,,,amd64_linux_gcc,amd64_windows_gcc,amd64_linux_clang
0.477283,0.033762,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_clang
0.477283,0.472939,,,amd64_windows_gcc,amd64_linux_gcc,amd64_windows_msvc
0.653597,,0.121436,,amd64_linux_go,amd64_windows_go,amd64_linux_tgo
0.384720,,,0.976676,amd64_linux_rs-pure,amd64_windows_rs-pure,amd64_linux_rs-sys
0.384720,,,0.981404,amd64_windows_rs-pure,amd64_linux_rs-pure,amd64_windows_rs-sys
0.382545,,,0.976676,amd64_linux_rs-sys,amd64_windows_rs-sys,amd64_linux_rs-pure
0.382545,,,0.981404,amd64_windows_rs-sys,amd64_linux_rs-sys,amd64_windows_rs-pure
0.704829,0.885249,,,arm64_darwin_clang,arm64_linux_clang,arm64_darwin_gcc
0.704829,0.567918,,,arm64_linux_clang,arm64_darwin_clang,arm64_linux_gcc
0.019294,0.885249,,,arm64_darwin_clang,arm64_windows_clang,arm64_darwin_gcc
0.019294,0.269875,,,arm64_windows_clang,arm64_darwin_clang,arm64_windows_msvc
0.447939,0.885249,,,arm64_darwin_gcc,arm64_linux_gcc,arm64_darwin_clang
0.447939,0.567918,,,arm64_linux_gcc,arm64_darwin_gcc,arm64_linux_clang
0.605151,,0.101371,,arm64_darwin_go,arm64_linux_go,arm64_darwin_tgo
0.605151,,0.143318,,arm64_linux_go,arm64_darwin_go,arm64_linux_tgo
0.446428,,0.101371,,arm64_darwin_go,arm64_windows_go,arm64_darwin_tgo
0.885099,,,0.977179,arm64_darwin_rs-pure,arm64_linux_rs-pure,arm64_darwin_rs-sys
0.885099,,,0.975302,arm64_linux_rs-pure,arm64_darwin_rs-pure,arm64_linux_rs-sys
0.501530,,,0.977179,arm64_darwin_rs-pure,arm64_windows_rs-pure,arm64_darwin_rs-sys
0.501530,,,0.978215,arm64_windows_rs-pure,arm64_darwin_rs-pure,arm64_windows_rs-sys
0.886929,,,0.977179,arm64_darwin_rs-sys,arm64_linux_rs-sys,arm64_darwin_rs-pure
0.886929,,,0.975302,arm64_linux_rs-sys,arm64_darwin_rs-sys,arm64_linux_rs-pure
0.502623,,,0.977179,arm64_darwin_rs-sys,arm64_windows_rs-sys,arm64_darwin_rs-pure
0.502623,,,0.978215,arm64_windows_rs-sys,arm64_darwin_rs-sys,arm64_windows_rs-pure
0.593488,,0.101371,,arm64_darwin_tgo,arm64_linux_tgo,arm64_darwin_go
0.593488,,0.143318,,arm64_linux_tgo,arm64_darwin_tgo,arm64_linux_go
0.020691,0.567918,,,arm64_linux_clang,arm64_windows_clang,arm64_linux_gcc
0.020691,0.269875,,,arm64_windows_clang,arm64_linux_clang,arm64_windows_msvc
0.657699,,0.143318,,arm64_linux_go,arm64_windows_go,arm64_linux_tgo
0.518809,,,0.975302,arm64_linux_rs-pure,arm64_windows_rs-pure,arm64_linux_rs-sys
0.518809,,,0.978215,arm64_windows_rs-pure,arm64_linux_rs-pure,arm64_windows_rs-sys
0.518416,,,0.975302,arm64_linux_rs-sys,arm64_windows_rs-sys,arm64_linux_rs-pure
0.518416,,,0.978215,arm64_windows_rs-sys,arm64_linux_rs-sys,arm64_windows_rs-pure
