result,684312541,0.9906582719082719
left,birthmark,bzip2-1.0.5,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.5,op-seq,2026-04-17T04:57:47.890829+00:00,3127708
right,birthmark,bzip2-1.0.4,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.4,op-seq,2026-04-17T04:57:55.171892+00:00,4509542
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,1,0.4166666666666667,0.7142857142857143,0.6,0.25,0.25,0.7,0.7241379310344828,0.8076923076923077,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.25,0.25,0.6451612903225806,0.375,0.25,0.375,0.25,0.08333333333333333,0.5675675675675675,0.5833333333333334,0.5384615384615384,0.5405405405405406,0.5769230769230769,0.5,0.16666666666666666,0.5384615384615384,0.36666666666666664,0.5384615384615384,0.08333333333333333,0.5769230769230769,0.07692307692307693,0.16666666666666666,0.64,0.625,0.48,0.6,0.32142857142857145,0.5833333333333334,0.48,0.5833333333333334,0.7037037037037037,0.08333333333333333,0.7037037037037037,0.64,0.44,0.6,0.3333333333333333,0.6923076923076923,0.6538461538461539,0.125,0.72,0.125,0.48,0.3333333333333333,0.08333333333333333,0.64,0.2962962962962963,0.5333333333333333,0.25,0.125,0.25,0.375
1,_mySIGSEGVorSIGBUScatcher,0.4166666666666667,1,0.4166666666666667,0.625,0.6,0.6,0.37037037037037035,0.38461538461538464,0.43478260869565216,0.8181818181818182,0.7142857142857143,0.8,0.6,0.6,0.37037037037037035,0.7272727272727273,0.6,0.9,0.6,0.2,0.29411764705882354,0.30303030303030304,0.3684210526315789,0.30303030303030304,0.42105263157894735,0.27586206896551724,0.16666666666666666,0.2777777777777778,0.22727272727272727,0.3684210526315789,0.2,0.5,0.16666666666666666,0.4,0.5,0.35714285714285715,0.5333333333333333,0.4444444444444444,0.4375,0.30303030303030304,0.5333333333333333,0.5,0.391304347826087,0.2,0.391304347826087,0.5,0.4666666666666667,0.5294117647058824,0.5,0.5,0.5263157894736842,0.3,0.5263157894736842,0.3,0.7692307692307693,0.6363636363636364,0.2,0.5882352941176471,0.16666666666666666,0.3333333333333333,0.6,0.3,0.6,0.9
2,_addFlagsFromEnvVar,0.7142857142857143,0.4166666666666667,1,0.6666666666666666,0.25,0.25,0.7586206896551724,0.7857142857142857,0.8076923076923077,0.4166666666666667,0.52,0.3333333333333333,0.25,0.25,0.7,0.375,0.25,0.375,0.25,0.08333333333333333,0.6571428571428571,0.6764705882352942,0.48148148148148145,0.7272727272727273,0.5769230769230769,0.7,0.16666666666666666,0.6666666666666666,0.5185185185185185,0.6,0.08333333333333333,0.64,0.16666666666666666,0.16666666666666666,0.64,0.7333333333333333,0.48,0.6,0.4230769230769231,0.6285714285714286,0.48,0.5833333333333334,0.7037037037037037,0.08333333333333333,0.6428571428571429,0.7083333333333334,0.44,0.6666666666666666,0.3333333333333333,0.6923076923076923,0.6538461538461539,0.125,0.7916666666666666,0.125,0.5416666666666666,0.3333333333333333,0.08333333333333333,0.5769230769230769,0.4,0.7037037037037037,0.25,0.125,0.25,0.375
3,_snocString,0.6,0.625,0.6666666666666666,1,0.375,0.375,0.5925925925925926,0.6153846153846154,0.625,0.625,0.5,0.5,0.375,0.375,0.5357142857142857,0.47058823529411764,0.375,0.5625,0.375,0.125,0.47058823529411764,0.48484848484848486,0.45454545454545453,0.48484848484848486,0.5714285714285714,0.4827586206896552,0.25,0.4444444444444444,0.43478260869565216,0.5238095238095238,0.125,0.5714285714285714,0.17647058823529413,0.25,0.5714285714285714,0.5714285714285714,0.5263157894736842,0.6,0.45,0.48484848484848486,0.5263157894736842,0.5789473684210527,0.5833333333333334,0.125,0.5833333333333334,0.65,0.5555555555555556,0.6,0.5,0.5652173913043478,0.5909090909090909,0.1875,0.6666666666666666,0.1875,0.6111111111111112,0.4117647058823529,0.125,0.65,0.35,0.5833333333333334,0.375,0.1875,0.375,0.5625
4,_usage,0.25,0.6,0.25,0.375,1,1,0.2222222222222222,0.23076923076923078,0.2608695652173913,0.6,0.42857142857142855,0.75,1,1,0.2222222222222222,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0.17647058823529413,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.21052631578947367,0.13793103448275862,0.25,0.16666666666666666,0.15,0.29411764705882354,0.3333333333333333,0.2777777777777778,0.25,0.25,0.2777777777777778,0.21428571428571427,0.26666666666666666,0.2222222222222222,0.26666666666666666,0.18181818181818182,0.26666666666666666,0.25,0.21739130434782608,0.3333333333333333,0.21739130434782608,0.2777777777777778,0.2857142857142857,0.29411764705882354,0.2727272727272727,0.3,0.3157894736842105,0.5,0.3157894736842105,0.5,0.46153846153846156,0.4,0.3333333333333333,0.35294117647058826,0.21428571428571427,0.16666666666666666,1,0.5,1,0.6666666666666666
5,_mySignalCatcher,0.25,0.6,0.25,0.375,1,1,0.2222222222222222,0.23076923076923078,0.2608695652173913,0.6,0.42857142857142855,0.75,1,1,0.2222222222222222,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0.17647058823529413,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.21052631578947367,0.13793103448275862,0.25,0.16666666666666666,0.15,0.29411764705882354,0.3333333333333333,0.2777777777777778,0.25,0.25,0.2777777777777778,0.21428571428571427,0.26666666666666666,0.2222222222222222,0.26666666666666666,0.18181818181818182,0.26666666666666666,0.25,0.21739130434782608,0.3333333333333333,0.21739130434782608,0.2777777777777778,0.2857142857142857,0.29411764705882354,0.2727272727272727,0.3,0.3157894736842105,0.5,0.3157894736842105,0.5,0.46153846153846156,0.4,0.3333333333333333,0.35294117647058826,0.21428571428571427,0.16666666666666666,1,0.5,1,0.6666666666666666
6,_compress,0.7,0.37037037037037035,0.7586206896551724,0.5925925925925926,0.2222222222222222,0.2222222222222222,1,0.9629629629629629,0.8518518518518519,0.37037037037037035,0.5185185185185185,0.2962962962962963,0.2222222222222222,0.2222222222222222,0.6363636363636364,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.07407407407407407,0.7941176470588235,0.7142857142857143,0.43333333333333335,0.7647058823529411,0.5714285714285714,0.6875,0.14814814814814814,0.7027027027027027,0.4666666666666667,0.5357142857142857,0.07407407407407407,0.5714285714285714,0.10714285714285714,0.14814814814814814,0.6296296296296297,0.71875,0.48148148148148145,0.5925925925925926,0.3793103448275862,0.6666666666666666,0.48148148148148145,0.5185185185185185,0.75,0.07407407407407407,0.75,0.6296296296296297,0.4444444444444444,0.5925925925925926,0.2962962962962963,0.7407407407407407,0.7037037037037037,0.1111111111111111,0.7037037037037037,0.1111111111111111,0.48148148148148145,0.2962962962962963,0.07407407407407407,0.6296296296296297,0.3103448275862069,0.6333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333
7,_uncompress,0.7241379310344828,0.38461538461538464,0.7857142857142857,0.6153846153846154,0.23076923076923078,0.23076923076923078,0.9629629629629629,1,0.8846153846153846,0.38461538461538464,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.6060606060606061,0.34615384615384615,0.23076923076923078,0.34615384615384615,0.23076923076923078,0.07692307692307693,0.7647058823529411,0.6857142857142857,0.4482758620689655,0.7352941176470589,0.5925925925925926,0.65625,0.15384615384615385,0.6756756756756757,0.43333333333333335,0.5555555555555556,0.07692307692307693,0.5925925925925926,0.1111111111111111,0.15384615384615385,0.6538461538461539,0.6875,0.5,0.6153846153846154,0.39285714285714285,0.6388888888888888,0.5,0.5384615384615384,0.7142857142857143,0.07692307692307693,0.7142857142857143,0.6538461538461539,0.46153846153846156,0.6153846153846154,0.3076923076923077,0.7692307692307693,0.7307692307692307,0.11538461538461539,0.7307692307692307,0.11538461538461539,0.5,0.3076923076923077,0.07692307692307693,0.6538461538461539,0.32142857142857145,0.6,0.23076923076923078,0.11538461538461539,0.23076923076923078,0.34615384615384615
8,_testf,0.8076923076923077,0.43478260869565216,0.8076923076923077,0.625,0.2608695652173913,0.2608695652173913,0.8518518518518519,0.8846153846153846,1,0.43478260869565216,0.6086956521739131,0.34782608695652173,0.2608695652173913,0.2608695652173913,0.6666666666666666,0.391304347826087,0.2608695652173913,0.391304347826087,0.2608695652173913,0.08695652173913043,0.6764705882352942,0.6470588235294118,0.5,0.6470588235294118,0.6,0.5625,0.17391304347826086,0.5945945945945946,0.42857142857142855,0.625,0.08695652173913043,0.6666666666666666,0.08,0.17391304347826086,0.6666666666666666,0.6451612903225806,0.5652173913043478,0.6956521739130435,0.3333333333333333,0.6,0.5652173913043478,0.6086956521739131,0.8,0.08695652173913043,0.7307692307692307,0.6666666666666666,0.5217391304347826,0.6956521739130435,0.34782608695652173,0.7916666666666666,0.75,0.13043478260869565,0.75,0.13043478260869565,0.5652173913043478,0.34782608695652173,0.08695652173913043,0.7391304347826086,0.36,0.6071428571428571,0.2608695652173913,0.13043478260869565,0.2608695652173913,0.391304347826087
9,_showFileNames,0.4166666666666667,0.8181818181818182,0.4166666666666667,0.625,0.6,0.6,0.37037037037037035,0.38461538461538464,0.43478260869565216,1,0.6,0.8,0.6,0.6,0.37037037037037035,0.7272727272727273,0.6,0.9,0.6,0.2,0.29411764705882354,0.30303030303030304,0.3684210526315789,0.30303030303030304,0.42105263157894735,0.27586206896551724,0.16666666666666666,0.2777777777777778,0.2857142857142857,0.3684210526315789,0.2,0.42105263157894735,0.16666666666666666,0.4,0.42105263157894735,0.35714285714285715,0.4375,0.3684210526315789,0.4375,0.30303030303030304,0.4375,0.4117647058823529,0.391304347826087,0.2,0.391304347826087,0.42105263157894735,0.375,0.4444444444444444,0.38461538461538464,0.42857142857142855,0.45,0.3,0.45,0.3,0.6428571428571429,0.6363636363636364,0.2,0.5,0.23529411764705882,0.3333333333333333,0.6,0.3,0.6,0.7272727272727273
10,_cleanUpAndFail,0.5833333333333334,0.7142857142857143,0.52,0.5,0.42857142857142855,0.42857142857142855,0.5185185185185185,0.5384615384615384,0.6086956521739131,0.6,1,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.41379310344827586,0.6428571428571429,0.42857142857142855,0.6428571428571429,0.42857142857142855,0.14285714285714285,0.4117647058823529,0.42424242424242425,0.42857142857142855,0.38235294117647056,0.47619047619047616,0.3225806451612903,0.125,0.3888888888888889,0.24,0.36363636363636365,0.14285714285714285,0.47619047619047616,0.125,0.2857142857142857,0.631578947368421,0.4482758620689655,0.5882352941176471,0.5,0.35,0.42424242424242425,0.5882352941176471,0.47368421052631576,0.5,0.14285714285714285,0.44,0.55,0.4444444444444444,0.5789473684210527,0.375,0.6190476190476191,0.5714285714285714,0.21428571428571427,0.65,0.21428571428571427,0.6875,0.5714285714285714,0.14285714285714285,0.7222222222222222,0.19047619047619047,0.44,0.42857142857142855,0.21428571428571427,0.42857142857142855,0.6428571428571429
11,_cadvise,0.3333333333333333,0.8,0.3333333333333333,0.5,0.75,0.75,0.2962962962962963,0.3076923076923077,0.34782608695652173,0.8,0.5714285714285714,1,0.75,0.75,0.2962962962962963,0.7,0.75,0.8888888888888888,0.75,0.25,0.23529411764705882,0.24242424242424243,0.2631578947368421,0.24242424242424243,0.3157894736842105,0.20689655172413793,0.2,0.2222222222222222,0.19047619047619047,0.3333333333333333,0.25,0.3888888888888889,0.2,0.5,0.3888888888888889,0.2857142857142857,0.4,0.3333333333333333,0.4,0.24242424242424243,0.4,0.375,0.30434782608695654,0.25,0.30434782608695654,0.3888888888888889,0.42857142857142855,0.4117647058823529,0.45454545454545453,0.4,0.42105263157894735,0.375,0.42105263157894735,0.375,0.6153846153846154,0.6,0.25,0.47058823529411764,0.1875,0.25,0.75,0.375,0.75,0.7
12,_outOfMemory,0.25,0.6,0.25,0.375,1,1,0.2222222222222222,0.23076923076923078,0.2608695652173913,0.6,0.42857142857142855,0.75,1,1,0.2222222222222222,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0.17647058823529413,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.21052631578947367,0.13793103448275862,0.25,0.16666666666666666,0.15,0.29411764705882354,0.3333333333333333,0.2777777777777778,0.25,0.25,0.2777777777777778,0.21428571428571427,0.26666666666666666,0.2222222222222222,0.26666666666666666,0.18181818181818182,0.26666666666666666,0.25,0.21739130434782608,0.3333333333333333,0.21739130434782608,0.2777777777777778,0.2857142857142857,0.29411764705882354,0.2727272727272727,0.3,0.3157894736842105,0.5,0.3157894736842105,0.5,0.46153846153846156,0.4,0.3333333333333333,0.35294117647058826,0.21428571428571427,0.16666666666666666,1,0.5,1,0.6666666666666666
13,_panic,0.25,0.6,0.25,0.375,1,1,0.2222222222222222,0.23076923076923078,0.2608695652173913,0.6,0.42857142857142855,0.75,1,1,0.2222222222222222,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0.17647058823529413,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.21052631578947367,0.13793103448275862,0.25,0.16666666666666666,0.15,0.29411764705882354,0.3333333333333333,0.2777777777777778,0.25,0.25,0.2777777777777778,0.21428571428571427,0.26666666666666666,0.2222222222222222,0.26666666666666666,0.18181818181818182,0.26666666666666666,0.25,0.21739130434782608,0.3333333333333333,0.21739130434782608,0.2777777777777778,0.2857142857142857,0.29411764705882354,0.2727272727272727,0.3,0.3157894736842105,0.5,0.3157894736842105,0.5,0.46153846153846156,0.4,0.3333333333333333,0.35294117647058826,0.21428571428571427,0.16666666666666666,1,0.5,1,0.6666666666666666
14,_uInt64_toAscii,0.6451612903225806,0.37037037037037035,0.7,0.5357142857142857,0.2222222222222222,0.2222222222222222,0.6363636363636364,0.6060606060606061,0.6666666666666666,0.37037037037037035,0.41379310344827586,0.2962962962962963,0.2222222222222222,0.2222222222222222,1,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.07407407407407407,0.6486486486486487,0.6666666666666666,0.3870967741935484,0.6216216216216216,0.4666666666666667,0.5882352941176471,0.14814814814814814,0.6153846153846154,0.41935483870967744,0.5357142857142857,0.07407407407407407,0.5714285714285714,0.10714285714285714,0.14814814814814814,0.5172413793103449,0.71875,0.42857142857142855,0.5357142857142857,0.3333333333333333,0.5789473684210527,0.42857142857142855,0.5185185185185185,0.6333333333333333,0.07407407407407407,0.5806451612903226,0.5172413793103449,0.39285714285714285,0.5357142857142857,0.2962962962962963,0.5666666666666667,0.5862068965517241,0.1111111111111111,0.5862068965517241,0.1111111111111111,0.48148148148148145,0.2962962962962963,0.07407407407407407,0.5172413793103449,0.3103448275862069,0.5806451612903226,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333
15,_configError,0.375,0.7272727272727273,0.375,0.47058823529411764,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.34615384615384615,0.391304347826087,0.7272727272727273,0.6428571428571429,0.7,0.6666666666666666,0.6666666666666666,0.2857142857142857,1,0.6666666666666666,0.8,0.6666666666666666,0.2222222222222222,0.2647058823529412,0.2727272727272727,0.3888888888888889,0.2727272727272727,0.3684210526315789,0.2413793103448276,0.18181818181818182,0.25,0.3,0.3157894736842105,0.2222222222222222,0.3684210526315789,0.18181818181818182,0.3,0.4444444444444444,0.32142857142857145,0.375,0.3157894736842105,0.375,0.2727272727272727,0.375,0.35294117647058826,0.34782608695652173,0.2222222222222222,0.34782608695652173,0.4444444444444444,0.3125,0.47058823529411764,0.3076923076923077,0.45,0.4,0.3333333333333333,0.47368421052631576,0.3333333333333333,0.5714285714285714,0.5454545454545454,0.2222222222222222,0.4444444444444444,0.17647058823529413,0.2916666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8
16,_crcError,0.25,0.6,0.25,0.375,1,1,0.2222222222222222,0.23076923076923078,0.2608695652173913,0.6,0.42857142857142855,0.75,1,1,0.2222222222222222,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0.17647058823529413,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.21052631578947367,0.13793103448275862,0.25,0.16666666666666666,0.15,0.29411764705882354,0.3333333333333333,0.2777777777777778,0.25,0.25,0.2777777777777778,0.21428571428571427,0.26666666666666666,0.2222222222222222,0.26666666666666666,0.18181818181818182,0.26666666666666666,0.25,0.21739130434782608,0.3333333333333333,0.21739130434782608,0.2777777777777778,0.2857142857142857,0.29411764705882354,0.2727272727272727,0.3,0.3157894736842105,0.5,0.3157894736842105,0.5,0.46153846153846156,0.4,0.3333333333333333,0.35294117647058826,0.21428571428571427,0.16666666666666666,1,0.5,1,0.6666666666666666
17,_compressedStreamEOF,0.375,0.9,0.375,0.5625,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.34615384615384615,0.391304347826087,0.9,0.6428571428571429,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8,0.6666666666666666,1,0.6666666666666666,0.2222222222222222,0.2647058823529412,0.2727272727272727,0.3157894736842105,0.2727272727272727,0.3684210526315789,0.2413793103448276,0.18181818181818182,0.25,0.23809523809523808,0.3157894736842105,0.2222222222222222,0.4444444444444444,0.18181818181818182,0.4444444444444444,0.4444444444444444,0.32142857142857145,0.4666666666666667,0.3888888888888889,0.4666666666666667,0.2727272727272727,0.4666666666666667,0.4375,0.34782608695652173,0.2222222222222222,0.34782608695652173,0.4444444444444444,0.4,0.47058823529411764,0.4166666666666667,0.45,0.47368421052631576,0.3333333333333333,0.47368421052631576,0.3333333333333333,0.6923076923076923,0.7,0.2222222222222222,0.5294117647058824,0.17647058823529413,0.2916666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8
18,_OUTLINED_FUNCTION_0,0.25,0.6,0.25,0.375,1,1,0.2222222222222222,0.23076923076923078,0.2608695652173913,0.6,0.42857142857142855,0.75,1,1,0.2222222222222222,0.6666666666666666,1,0.6666666666666666,1,0.3333333333333333,0.17647058823529413,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.21052631578947367,0.13793103448275862,0.25,0.16666666666666666,0.15,0.29411764705882354,0.3333333333333333,0.2777777777777778,0.25,0.25,0.2777777777777778,0.21428571428571427,0.26666666666666666,0.2222222222222222,0.26666666666666666,0.18181818181818182,0.26666666666666666,0.25,0.21739130434782608,0.3333333333333333,0.21739130434782608,0.2777777777777778,0.2857142857142857,0.29411764705882354,0.2727272727272727,0.3,0.3157894736842105,0.5,0.3157894736842105,0.5,0.46153846153846156,0.4,0.3333333333333333,0.35294117647058826,0.21428571428571427,0.16666666666666666,1,0.5,1,0.6666666666666666
19,_OUTLINED_FUNCTION_1,0.08333333333333333,0.2,0.08333333333333333,0.125,0.3333333333333333,0.3333333333333333,0.07407407407407407,0.07692307692307693,0.08695652173913043,0.2,0.14285714285714285,0.25,0.3333333333333333,0.3333333333333333,0.07407407407407407,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,1,0.058823529411764705,0.06060606060606061,0.058823529411764705,0.06060606060606061,0.05555555555555555,0.03571428571428571,0.2,0.05555555555555555,0.05555555555555555,0.125,0.3333333333333333,0.05555555555555555,0.5,0.5,0.11764705882352941,0.07142857142857142,0.07142857142857142,0.058823529411764705,0.07142857142857142,0.06060606060606061,0.07142857142857142,0.14285714285714285,0.09090909090909091,1,0.09090909090909091,0.11764705882352941,0.16666666666666666,0.125,0.1111111111111111,0.1,0.10526315789473684,0.6666666666666666,0.10526315789473684,0.6666666666666666,0.15384615384615385,0.25,0.3333333333333333,0.11764705882352941,0.08333333333333333,0.043478260869565216,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2222222222222222
20,_BZ2_blockSort,0.5675675675675675,0.29411764705882354,0.6571428571428571,0.47058823529411764,0.17647058823529413,0.17647058823529413,0.7941176470588235,0.7647058823529411,0.6764705882352942,0.29411764705882354,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.6486486486486487,0.2647058823529412,0.17647058823529413,0.2647058823529412,0.17647058823529413,0.058823529411764705,1,0.8108108108108109,0.42857142857142855,0.8611111111111112,0.5,0.7428571428571429,0.11764705882352941,0.8421052631578947,0.45714285714285713,0.47058823529411764,0.058823529411764705,0.5,0.11764705882352941,0.11764705882352941,0.5,0.7222222222222222,0.38235294117647056,0.47058823529411764,0.38235294117647056,0.7631578947368421,0.38235294117647056,0.4117647058823529,0.6470588235294118,0.058823529411764705,0.6,0.5,0.35294117647058826,0.47058823529411764,0.23529411764705882,0.5882352941176471,0.5588235294117647,0.08823529411764706,0.5588235294117647,0.08823529411764706,0.38235294117647056,0.23529411764705882,0.058823529411764705,0.5,0.2857142857142857,0.6,0.17647058823529413,0.08823529411764706,0.17647058823529413,0.2647058823529412
