result,141909430458,0.9140646334450006
left,birthmark,bzip2-1.0.2,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.2,op-seq,2026-04-17T04:57:55.385904+00:00,4462500
right,birthmark,bzip2-1.0.1,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.1,op-seq,2026-04-17T04:57:54.745901+00:00,4045000
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_setInterimPermissions,_pad,_copyDatePermissionsAndOwner,_uInt64_toAscii,_configError,_crcError,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_compressedStreamEOF,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,0.0035392535392535507,0.9804416403785489,0.01833976833976836,0.05212355212355213,0.01962676962676968,0.003217503217503248,0.0038610038610038533,0.40795765027322406,0.4113498992612492,0.41698841698841704,0.004826254826254872,0.06917631917631917,0.0045045045045044585,0.004826254826254872,0.004826254826254872,0.03957528957528955,0.005148005148005175,0.00579150579150578,0.013835263835263789,0.0045045045045044585,0.0006435006435006052,0.07130134546351352,0.157014157014157,0.043436293436293405,0.12451737451737455,0.01158301158301156,0.05341055341055345,0.0012870012870013214,0.054552416266978376,0.027027027027026973,0.062407395121519715,0.0006435006435006052,0.04665379665379665,0.0006435006435006052,0.001608751608751624,0.03217503217503215,0.0933075933075933,0.014800514800514808,0.016409266409266432,0.0061132561132560825,0.12258687258687262,0.014800514800514808,0.020592020592020588,0.027992277992277992,0.0006435006435006052,0.0427927927927928,0.025740025740025763,0.023487773487773533,0.031853281853281845,0.012870012870012881,0.09041184041184036,0.09942084942084939,0.0009652509652510188,0.09491634491634493,0.0009652509652510188,0.005469755469755477,0.0028957528957529455,0.0006435006435006052,0.03314028314028317,0.0035392535392535507,0.02413127413127414,0.00579150579150578,0.001608751608751624,0.0038610038610038533,0.00579150579150578,0,0
1,entry,0.1578947368421053,0.01798107255520509,1,0.14785992217898836,0.3285714285714286,0.17543859649122806,0.21052631578947367,0.009733606557377095,0.009570181329751515,0.03213077790304397,0.19298245614035092,0.21363636363636362,0.24561403508771928,0.26315789473684215,0.26315789473684215,0.1123188405797102,0.24561403508771928,0.3157894736842105,0.49122807017543857,0.24561403508771928,0.03508771929824561,0.0015619433864029197,0.0390625,0.05213270142180093,0.041568627450980444,0.1578947368421053,0.03862660944206009,0.03508771929824561,0.0011285316996493266,0.05701754385964908,0.001216302881532072,0.03508771929824561,0.10197368421052633,0.03508771929824561,0.08771929824561409,0.09589041095890416,0.04714142427281842,0.10526315789473684,0.08974358974358976,0.21052631578947367,0.02577319587628868,0.10526315789473684,0.15384615384615385,0.11258278145695366,0.03508771929824561,0.07958477508650519,0.1322314049586777,0.07476635514018692,0.10795454545454541,0.10526315789473684,0.10886075949367091,0.10148514851485146,0.03508771929824561,0.13262599469496017,0.03508771929824561,0.21052631578947367,0.14035087719298245,0.03508771929824561,0.19083969465648853,0.07017543859649122,0.041450777202072575,0.3157894736842105,0.08771929824561409,0.21052631578947367,0.2807017543859649,0,0
2,_mySIGSEGVorSIGBUScatcher,0.03891050583657585,0.05110410094637219,0.14785992217898836,1,0.1556420233463035,0.03891050583657585,0.04280155642023342,0.023565573770491843,0.029214237743452,0.07666290868094705,0.054474708171206254,0.17898832684824906,0.046692607003890996,0.05058365758754868,0.05058365758754868,0.22101449275362317,0.054474708171206254,0.05836575875486383,0.11284046692607008,0.05058365758754868,0.0077821011673151474,0.006028553421204119,0.1399147727272727,0.15165876777251186,0.14980392156862743,0.1245136186770428,0.16595135908440628,0.015564202334630295,0.004675345612833004,0.1245136186770428,0.00532961808089516,0.0077821011673151474,0.2203947368421053,0.015564202334630295,0.015564202334630295,0.21011673151750976,0.15045135406218657,0.1400778210116731,0.15953307392996108,0.08560311284046696,0.10360824742268038,0.1400778210116731,0.16731517509727623,0.16342412451361865,0.0077821011673151474,0.16262975778546718,0.19844357976653693,0.16342412451361865,0.1712062256809338,0.12062256809338523,0.22025316455696198,0.1955445544554455,0.0077821011673151474,0.22015915119363394,0.0077821011673151474,0.07003891050583655,0.035019455252918275,0.0077821011673151474,0.19844357976653693,0.046692607003890996,0.1556420233463035,0.05836575875486383,0.01945525291828798,0.04280155642023342,0.05836575875486383,0,0
3,_addFlagsFromEnvVar,0.15714285714285714,0.019242902208201906,0.3285714285714286,0.1556420233463035,1,0.1428571428571429,0.15714285714285714,0.010245901639344246,0.010577568838146423,0.033258173618940234,0.15714285714285714,0.17272727272727273,0.15714285714285714,0.19999999999999996,0.19999999999999996,0.10869565217391308,0.17142857142857137,0.24285714285714288,0.3571428571428571,0.17142857142857137,0.02857142857142858,0.001698955964157478,0.043323863636363646,0.06161137440758291,0.043921568627451,0.18571428571428572,0.045779685264663805,0.05714285714285716,0.0013703599210027617,0.08333333333333337,0.0013711050664543256,0.02857142857142858,0.11513157894736847,0.042857142857142816,0.0714285714285714,0.1643835616438356,0.054162487462387165,0.2142857142857143,0.14102564102564108,0.15714285714285714,0.02938144329896908,0.2142857142857143,0.19780219780219777,0.17880794701986757,0.02857142857142858,0.11764705882352944,0.1900826446280992,0.14953271028037385,0.15909090909090906,0.2571428571428571,0.09367088607594942,0.09405940594059403,0.042857142857142816,0.12997347480106103,0.042857142857142816,0.15714285714285714,0.11428571428571432,0.02857142857142858,0.20610687022900764,0.0714285714285714,0.10880829015544047,0.24285714285714288,0.0714285714285714,0.15714285714285714,0.18571428571428572,0,0
4,_snocString,0.36363636363636365,0.003154574132492094,0.17543859649122806,0.03891050583657585,0.1428571428571429,1,0.5833333333333333,0.0017076502732240595,0.00167897918065818,0.005636978579481422,0.4666666666666667,0.045454545454545414,0.6428571428571428,0.5333333333333333,0.5333333333333333,0.02898550724637683,0.5,0.4444444444444444,0.2325581395348837,0.5714285714285714,0.19999999999999996,0.0002740251555092277,0.007102272727272707,0.014218009478673022,0.007843137254901933,0.09756097560975607,0.007153075822603716,0.09999999999999998,0.00020152351779456623,0.00877192982456143,0.00019903138061438952,0.19999999999999996,0.023026315789473673,0.19999999999999996,0.19999999999999996,0.04109589041095896,0.010030090270812475,0.10526315789473684,0.0641025641025641,0.16666666666666663,0.004639175257731942,0.10526315789473684,0.06593406593406592,0.04635761589403975,0.19999999999999996,0.02422145328719727,0.04958677685950408,0.028037383177570097,0.03409090909090906,0.06000000000000005,0.020253164556962022,0.022277227722772297,0.19999999999999996,0.02652519893899208,0.19999999999999996,0.368421052631579,0.5,0.19999999999999996,0.06106870229007633,0.1428571428571429,0.015544041450777257,0.4444444444444444,0.30000000000000004,0.5833333333333333,0.5,0,0
5,_usage,0.16666666666666663,0.003785488958990557,0.21052631578947367,0.04280155642023342,0.15714285714285714,0.5833333333333333,1,0.002049180327868827,0.002014775016789816,0.006764374295377684,0.5333333333333333,0.054545454545454564,0.5,0.8,0.8,0.03260869565217395,0.75,0.6666666666666667,0.2790697674418605,0.5714285714285714,0.16666666666666663,0.0003288301866111176,0.008522727272727293,0.011848341232227444,0.009411764705882342,0.09756097560975607,0.007153075822603716,0.08333333333333337,0.00024182822135343507,0.00877192982456143,0.0002432605763064144,0.16666666666666663,0.02631578947368418,0.16666666666666663,0.16666666666666663,0.04109589041095896,0.011033099297893645,0.08771929824561409,0.05128205128205132,0.16666666666666663,0.005154639175257714,0.08771929824561409,0.06593406593406592,0.039735099337748325,0.16666666666666663,0.02768166089965396,0.04958677685950408,0.028037383177570097,0.03409090909090906,0.06000000000000005,0.025316455696202556,0.024752475247524774,0.16666666666666663,0.03183023872679047,0.16666666666666663,0.3157894736842105,0.33333333333333337,0.16666666666666663,0.06870229007633588,0.1428571428571429,0.015544041450777257,0.6666666666666667,0.25,1,0.4444444444444444,0,0
6,_mySignalCatcher,0.002563505010487077,0.5094383593567933,0.013283616872523885,0.03216033558611042,0.014215800512700993,0.0023304591004428277,0.0027965509205313266,0.6729849726775956,0.5982202820685023,0.33348869727336283,0.003495688650664186,0.05010487065951996,0.0032626427406199365,0.003495688650664186,0.003495688650664186,0.02516895828478205,0.0037287345607084355,0.004194826380797045,0.010020974131903948,0.0032626427406199365,0.00046609182008860994,0.10771928863069635,0.11092985318107662,0.027965509205313488,0.0841295735259846,0.007457469121416871,0.03285947331624328,0.0006991377301328594,0.0802668171375599,0.01701235143323232,0.08839204759061459,0.00046609182008860994,0.03379165695642039,0.0006991377301328594,0.0011652295502213583,0.019342810533675148,0.06385457935213235,0.010020974131903948,0.010487065951992558,0.004194826380797045,0.08669307853647168,0.010020974131903948,0.013516662782568134,0.018876718713586538,0.00046609182008860994,0.028664646935446236,0.01584712188301096,0.014448846422745243,0.021207177814029365,0.007457469121416871,0.05942670706129105,0.07014681892332786,0.0006991377301328594,0.06618503845257517,0.0006991377301328594,0.003961780470752685,0.002097413190398467,0.00046609182008860994,0.021440223724073615,0.0018643672803542177,0.014914938242833853,0.004194826380797045,0.0011652295502213583,0.0027965509205313266,0.004194826380797045,0,0
7,_compress,0.0026640833131509334,0.505449261322354,0.013804795349963705,0.040445628481472484,0.015257931702591376,0.002421893921046303,0.0029062727052555637,0.5447404371584699,0.6269308260577569,0.39767498183579564,0.0036328408815693436,0.05255509808670378,0.0033906514894647133,0.0036328408815693436,0.0036328408815693436,0.031484620973601385,0.003875030273673974,0.0043594090578832345,0.010414143860498881,0.0033906514894647133,0.0004843787842092606,0.09755295536130215,0.12763380963913784,0.0348752724630661,0.09784451441026887,0.00847662872366195,0.04407846936304194,0.0009687575684185212,0.07353593164322281,0.023734560426253326,0.08233264778080007,0.0004843787842092606,0.03947687091305396,0.0007265681763138909,0.0012109469605231515,0.025187696778881108,0.07289900702349239,0.011140712036812772,0.013320416565754445,0.004843787842092495,0.10002421893921043,0.011140712036812772,0.016468878663114528,0.024218939210462587,0.0004843787842092606,0.03753935577621703,0.019617340760474722,0.0186485831920562,0.02664083313150889,0.00944538629208036,0.07168806006296924,0.07822717364979415,0.0007265681763138909,0.07362557519980628,0.0007265681763138909,0.0043594090578832345,0.0021797045289416728,0.0004843787842092606,0.025914264955195,0.0026640833131509334,0.020101719544683982,0.0043594090578832345,0.0012109469605231515,0.0029062727052555637,0.0043594090578832345,0,0
8,_uncompress,0.00649350649350644,0.39621451104100947,0.03364817001180642,0.08205430932703661,0.0354191263282172,0.005903187721369552,0.00708382526564344,0.23855874316939896,0.25990597716588315,0.8207440811724915,0.008854781582054327,0.12514757969303425,0.008264462809917328,0.008854781582054327,0.008854781582054327,0.06788665879574973,0.009445100354191216,0.010625737898465215,0.025383707201888983,0.008264462809917328,0.0011806375442738881,0.04041871043761813,0.2024793388429752,0.06611570247933884,0.17532467532467533,0.02007083825265643,0.0826446280991735,0.0023612750885477762,0.0294828906533392,0.0478158205430933,0.03381322010659238,0.0011806375442738881,0.0826446280991735,0.0011806375442738881,0.002951593860684776,0.05489964580873674,0.13872491145218413,0.025974025974025983,0.031286894923258535,0.011216056670602104,0.1319587628865979,0.025974025974025983,0.0365997638724912,0.05076741440377808,0.0011806375442738881,0.06788665879574973,0.044273907910271526,0.04073199527744986,0.05548996458087363,0.022432113341204207,0.15289256198347112,0.17650531286894922,0.0017709563164108877,0.15820543093270367,0.0017709563164108877,0.010625737898465215,0.005312868949232552,0.0011806375442738881,0.05548996458087363,0.00649350649350644,0.04014167650531286,0.010625737898465215,0.002951593860684776,0.00708382526564344,0.010625737898465215,0,0
9,_testf,0.2666666666666667,0.004731861198738141,0.19298245614035092,0.054474708171206254,0.15714285714285714,0.4666666666666667,0.5333333333333333,0.0025614754098360892,0.00251846877098727,0.008455467869222133,1,0.05909090909090908,0.6,0.33333333333333337,0.33333333333333337,0.04347826086956519,0.4375,0.2777777777777778,0.2558139534883721,0.4,0.1333333333333333,0.00041103773326389703,0.009943181818181768,0.023696682464455,0.01098039215686275,0.19512195121951215,0.01573676680972813,0.1333333333333333,0.0002821329249123039,0.030701754385964897,0.00030960436984450723,0.1333333333333333,0.03289473684210531,0.1333333333333333,0.2666666666666667,0.0547945205479452,0.014042126379137376,0.1228070175438597,0.08974358974358976,0.20833333333333337,0.006701030927835028,0.1228070175438597,0.09890109890109888,0.06622516556291391,0.1333333333333333,0.03806228373702425,0.07438016528925617,0.03738317757009346,0.045454545454545414,0.09999999999999998,0.032911392405063244,0.02970297029702973,0.1333333333333333,0.03448275862068961,0.1333333333333333,0.21052631578947367,0.2666666666666667,0.1333333333333333,0.06870229007633588,0.1333333333333333,0.020725388601036232,0.2777777777777778,0.19999999999999996,0.5333333333333333,0.2222222222222222,0,0
10,_showFileNames,0.06666666666666665,0.04668769716088328,0.31333333333333335,0.2023346303501945,0.21999999999999997,0.06666666666666665,0.07999999999999996,0.025273224043715792,0.02501678979180655,0.08229988726042836,0.08666666666666667,0.6681818181818182,0.08666666666666667,0.09999999999999998,0.09999999999999998,0.17028985507246375,0.10666666666666669,0.12,0.2866666666666666,0.09333333333333338,0.013333333333333308,0.004028169785986302,0.09375,0.06398104265402849,0.0980392156862745,0.12,0.06723891273247495,0.013333333333333308,0.003002700415138393,0.08771929824561409,0.003184502089829455,0.013333333333333308,0.21052631578947367,0.013333333333333308,0.026666666666666616,0.07333333333333336,0.10932798395185561,0.12,0.08666666666666667,0.08666666666666667,0.06804123711340204,0.12,0.09999999999999998,0.06622516556291391,0.013333333333333308,0.10726643598615915,0.10666666666666669,0.08666666666666667,0.10227272727272729,0.07999999999999996,0.2632911392405063,0.301980198019802,0.013333333333333308,0.28116710875331563,0.013333333333333308,0.07999999999999996,0.06000000000000005,0.013333333333333308,0.19333333333333336,0.033333333333333326,0.051813471502590636,0.12,0.033333333333333326,0.07999999999999996,0.11333333333333329,0,0
11,_cleanUpAndFail,0.3571428571428571,0.004416403785488909,0.24561403508771928,0.046692607003890996,0.15714285714285714,0.6428571428571428,0.5,0.0023907103825137055,0.002350570852921452,0.007891770011273946,0.6,0.05909090909090908,1,0.4666666666666667,0.4666666666666667,0.04347826086956519,0.4375,0.38888888888888884,0.3023255813953488,0.5714285714285714,0.1428571428571429,0.00038363521771300757,0.009232954545454586,0.018957345971563955,0.010196078431372602,0.14634146341463417,0.012875536480686733,0.1428571428571429,0.0002619805731328695,0.013157894736842146,0.00026537517415248235,0.1428571428571429,0.03289473684210531,0.1428571428571429,0.3571428571428571,0.06849315068493156,0.012036108324974926,0.1228070175438597,0.07692307692307687,0.20833333333333337,0.005670103092783485,0.1228070175438597,0.10989010989010994,0.05960264900662249,0.1428571428571429,0.03806228373702425,0.07438016528925617,0.03738317757009346,0.0625,0.12,0.027848101265822822,0.027227722772277252,0.1428571428571429,0.03448275862068961,0.1428571428571429,0.26315789473684215,0.3571428571428571,0.1428571428571429,0.07633587786259544,0.0714285714285714,0.020725388601036232,0.38888888888888884,0.2142857142857143,0.5,0.38888888888888884,0,0
12,_cadvise,0.2666666666666667,0.004731861198738141,0.26315789473684215,0.05058365758754868,0.19999999999999996,0.5333333333333333,0.8,0.0025614754098360892,0.00251846877098727,0.008455467869222133,0.33333333333333337,0.06818181818181823,0.4666666666666667,1,1,0.03985507246376807,0.75,0.8333333333333334,0.34883720930232553,0.5333333333333333,0.1333333333333333,0.00041103773326389703,0.01065340909090906,0.011848341232227444,0.0117647058823529,0.09756097560975607,0.007153075822603716,0.06666666666666665,0.0003022852766917383,0.00877192982456143,0.00030960436984450723,0.1333333333333333,0.02960526315789469,0.1333333333333333,0.1333333333333333,0.04109589041095896,0.014042126379137376,0.08771929824561409,0.05128205128205132,0.125,0.006185567010309256,0.08771929824561409,0.06593406593406592,0.04635761589403975,0.1333333333333333,0.03114186851211076,0.05785123966942152,0.028037383177570097,0.03977272727272729,0.06000000000000005,0.03037974683544309,0.02970297029702973,0.1333333333333333,0.03978779840848812,0.1333333333333333,0.368421052631579,0.2666666666666667,0.1333333333333333,0.09160305343511455,0.06666666666666665,0.015544041450777257,0.8333333333333334,0.2666666666666667,0.8,0.4444444444444444,0,0
13,_outOfMemory,0.2666666666666667,0.004731861198738141,0.26315789473684215,0.05058365758754868,0.19999999999999996,0.5333333333333333,0.8,0.0025614754098360892,0.00251846877098727,0.008455467869222133,0.33333333333333337,0.06818181818181823,0.4666666666666667,1,1,0.03985507246376807,0.75,0.8333333333333334,0.34883720930232553,0.5333333333333333,0.1333333333333333,0.00041103773326389703,0.01065340909090906,0.011848341232227444,0.0117647058823529,0.09756097560975607,0.007153075822603716,0.06666666666666665,0.0003022852766917383,0.00877192982456143,0.00030960436984450723,0.1333333333333333,0.02960526315789469,0.1333333333333333,0.1333333333333333,0.04109589041095896,0.014042126379137376,0.08771929824561409,0.05128205128205132,0.125,0.006185567010309256,0.08771929824561409,0.06593406593406592,0.04635761589403975,0.1333333333333333,0.03114186851211076,0.05785123966942152,0.028037383177570097,0.03977272727272729,0.06000000000000005,0.03037974683544309,0.02970297029702973,0.1333333333333333,0.03978779840848812,0.1333333333333333,0.368421052631579,0.2666666666666667,0.1333333333333333,0.09160305343511455,0.06666666666666665,0.015544041450777257,0.8333333333333334,0.2666666666666667,0.8,0.4444444444444444,0,0
14,_panic,0.2727272727272727,0.00220820189274451,0.10526315789473684,0.01945525291828798,0.0714285714285714,0.19999999999999996,0.16666666666666663,0.0011953551912567972,0.001175285426460726,0.003945885005636973,0.1333333333333333,0.027272727272727226,0.1428571428571429,0.19999999999999996,0.19999999999999996,0.021739130434782594,0.25,0.16666666666666663,0.09302325581395354,0.0714285714285714,0.2857142857142857,0.00019181760885644827,0.004971590909090939,0.009478672985781977,0.005490196078431375,0.04878048780487809,0.005722460658083017,0.1428571428571429,0.00014106646245615195,0.00877192982456143,0.00011057298923022874,0.1428571428571429,0.016447368421052655,0.2857142857142857,0.2857142857142857,0.03424657534246578,0.006018054162487463,0.08771929824561409,0.05128205128205132,0.08333333333333337,0.002577319587628857,0.08771929824561409,0.05494505494505497,0.0331125827814569,0.2857142857142857,0.01730103806228378,0.04132231404958675,0.04672897196261683,0.022727272727272707,0.07999999999999996,0.012658227848101222,0.012376237623762387,0.2857142857142857,0.018567639257294433,0.2857142857142857,0.26315789473684215,0.33333333333333337,0.1428571428571429,0.03816793893129766,0.0714285714285714,0.020725388601036232,0.16666666666666663,0.4285714285714286,0.16666666666666663,0.2777777777777778,0,0
15,_uInt64_toAscii,0.15625,0.009463722397476393,0.2807017543859649,0.0933852140077821,0.18571428571428572,0.25,0.28125,0.005464480874316946,0.005372733378106065,0.018038331454340528,0.25,0.11363636363636365,0.3125,0.3125,0.3125,0.07608695652173914,0.3125,0.3125,0.3023255813953488,0.25,0.0625,0.000876880497629684,0.022727272727272707,0.033175355450236976,0.02352941176470591,0.14634146341463417,0.025751072961373356,0.0625,0.0006448752569424565,0.06578947368421051,0.0006855525332272183,0.0625,0.0625,0.0625,0.09375,0.0821917808219178,0.029087261785356033,0.14035087719298245,0.15384615384615385,0.1875,0.013917525773195827,0.14035087719298245,0.1208791208791209,0.07284768211920534,0.0625,0.05882352941176472,0.11570247933884292,0.04672897196261683,0.06818181818181823,0.09999999999999998,0.0582278481012658,0.054455445544554504,0.0625,0.06631299734748008,0.0625,0.25,0.21875,0.0625,0.15267175572519087,0.125,0.04663212435233166,0.3125,0.15625,0.28125,0.28125,0,0
16,_configError,0.18604651162790697,0.01356466876971607,0.368421052631579,0.0933852140077821,0.27142857142857146,0.13953488372093026,0.18604651162790697,0.007342896174863389,0.007219610476830063,0.024239007891770026,0.18604651162790697,0.1636363636363637,0.13953488372093026,0.2558139534883721,0.2558139534883721,0.08333333333333337,0.2325581395348837,0.32558139534883723,0.37209302325581395,0.16279069767441856,0.046511627906976716,0.0011783081686899122,0.029829545454545414,0.026066350710900466,0.030588235294117694,0.023255813953488413,0.014306151645207432,0.023255813953488413,0.0008262464229575883,0.021929824561403466,0.0008624693159955399,0.046511627906976716,0.08881578947368418,0.046511627906976716,0.09302325581395354,0.09589041095890416,0.03610832497492478,0.10526315789473684,0.11538461538461542,0.11627906976744184,0.01907216494845365,0.10526315789473684,0.09890109890109888,0.06622516556291391,0.046511627906976716,0.04844290657439443,0.09090909090909094,0.05607476635514019,0.06818181818181823,0.06000000000000005,0.08101265822784809,0.07673267326732669,0.046511627906976716,0.09814323607427056,0.046511627906976716,0.2093023255813954,0.13953488372093026,0.023255813953488413,0.19083969465648853,0.046511627906976716,0.025906735751295318,0.32558139534883723,0.09302325581395354,0.18604651162790697,0.2325581395348837,0,0
17,_crcError,0.01158301158301156,0.056782334384858024,0.05920205920205923,0.14028314028314026,0.05662805662805659,0.012870012870012881,0.015444015444015413,0.030225409836065587,0.03643384822028206,0.09301014656144302,0.015444015444015413,0.09009009009009006,0.016731016731016735,0.018018018018018056,0.018018018018018056,0.24581724581724584,0.016731016731016735,0.020592020592020588,0.0424710424710425,0.016731016731016735,0.002574002574002532,0.009015427616255178,0.18963068181818177,0.157014157014157,0.14901960784313728,0.039897039897039854,0.13899613899613905,0.005148005148005175,0.010862117609125033,0.1364221364221364,0.011499590879939903,0.002574002574002532,0.12483912483912485,0.0038610038610038533,0.006435006435006385,0.07078507078507079,0.1664994984954865,0.03732303732303732,0.05791505791505791,0.02445302445302444,0.15515463917525774,0.03732303732303732,0.05534105534105538,0.09652509652509655,0.002574002574002532,0.13256113256113256,0.06949806949806947,0.07979407979407982,0.09909909909909909,0.041184041184041176,0.11583011583011582,0.13384813384813388,0.002574002574002532,0.13256113256113256,0.002574002574002532,0.019305019305019266,0.01029601029601035,0.002574002574002532,0.08751608751608753,0.014157014157014203,0.1145431145431145,0.020592020592020588,0.005148005148005175,0.015444015444015413,0.020592020592020588,0,0
18,_compressedStreamEOF,0.25,0.0050473186119873725,0.24561403508771928,0.054474708171206254,0.17142857142857137,0.5,0.75,0.002732240437158473,0.002686366689053088,0.009019165727170209,0.4375,0.07272727272727275,0.4375,0.75,0.75,0.04347826086956519,1,0.6111111111111112,0.32558139534883723,0.5,0.125,0.0004384402488147865,0.011363636363636354,0.018957345971563955,0.0117647058823529,0.1707317073170732,0.012875536480686733,0.0625,0.0003022852766917383,0.021929824561403466,0.0003317189676905752,0.125,0.02960526315789469,0.125,0.1875,0.0547945205479452,0.015045135406218657,0.10526315789473684,0.0641025641025641,0.16666666666666663,0.007216494845360799,0.10526315789473684,0.08791208791208793,0.052980132450331174,0.125,0.03806228373702425,0.0826446280991735,0.03738317757009346,0.045454545454545414,0.07999999999999996,0.03544303797468351,0.02970297029702973,0.125,0.03978779840848812,0.125,0.21052631578947367,0.375,0.125,0.07633587786259544,0.0625,0.025906735751295318,0.6111111111111112,0.1875,0.75,0.4444444444444444,0,0
19,_OUTLINED_FUNCTION_0,0.2222222222222222,0.005678233438485836,0.3157894736842105,0.05836575875486383,0.24285714285714288,0.4444444444444444,0.6666666666666667,0.0030737704918032405,0.003022162525184724,0.01014656144306647,0.2777777777777778,0.08181818181818179,0.38888888888888884,0.8333333333333334,0.8333333333333334,0.047101449275362306,0.6111111111111112,1,0.41860465116279066,0.5,0.11111111111111116,0.0004932452799166764,0.01278409090909094,0.011848341232227444,0.014117647058823568,0.07317073170731703,0.007153075822603716,0.05555555555555558,0.0003627423320301526,0.00877192982456143,0.00037594816338260006,0.11111111111111116,0.03618421052631582,0.11111111111111116,0.11111111111111116,0.04109589041095896,0.016048144433299938,0.08771929824561409,0.05128205128205132,0.08333333333333337,0.007216494845360799,0.08771929824561409,0.07692307692307687,0.052980132450331174,0.11111111111111116,0.03114186851211076,0.05785123966942152,0.028037383177570097,0.045454545454545414,0.06000000000000005,0.03544303797468351,0.034653465346534684,0.11111111111111116,0.04774535809018565,0.11111111111111116,0.26315789473684215,0.2222222222222222,0.11111111111111116,0.10687022900763354,0.11111111111111116,0.015544041450777257,1,0.2222222222222222,0.6666666666666667,0.4444444444444444,0,0
20,_OUTLINED_FUNCTION_1,0.2142857142857143,0.004416403785488909,0.24561403508771928,0.05058365758754868,0.17142857142857137,0.5714285714285714,0.5714285714285714,0.0023907103825137055,0.002350570852921452,0.007891770011273946,0.4,0.0636363636363636,0.5714285714285714,0.5333333333333333,0.5333333333333333,0.04347826086956519,0.5,0.5,0.2790697674418605,1,0.1428571428571429,0.00038363521771300757,0.009232954545454586,0.018957345971563955,0.010196078431372602,0.1707317073170732,0.011444921316165924,0.0714285714285714,0.0002821329249123039,0.00877192982456143,0.0002874897719985503,0.1428571428571429,0.02960526315789469,0.1428571428571429,0.1428571428571429,0.06164383561643838,0.013039117352056206,0.10526315789473684,0.05128205128205132,0.16666666666666663,0.006701030927835028,0.10526315789473684,0.07692307692307687,0.039735099337748325,0.1428571428571429,0.03460207612456745,0.06611570247933884,0.028037383177570097,0.051136363636363646,0.06000000000000005,0.03037974683544309,0.02970297029702973,0.1428571428571429,0.03448275862068961,0.1428571428571429,0.3157894736842105,0.2857142857142857,0.1428571428571429,0.06870229007633588,0.0714285714285714,0.015544041450777257,0.5,0.1428571428571429,0.5714285714285714,0.33333333333333337,0,0
