result,9744290250,1
left,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
right,birthmark,bzip2-1.0.3,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.3,op-seq,2026-04-17T04:57:16.349313+00:00,1592375
matrix,,_fopen_output_safely,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.1,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,_fopen_output_safely,1,0.0035807291666666297,0.14035087719298245,0.07317073170731703,0.1428571428571429,0.2727272727272727,0.16666666666666663,0.002135922330097073,0.002296930465650493,0.006235827664399118,0.19999999999999996,0.045454545454545414,0.2142857142857143,0.2666666666666667,0.2666666666666667,0.25,0.2222222222222222,0.17391304347826086,0.1428571428571429,0.18181818181818177,0.002679006332196754,0.008000000000000007,0.016587677725118488,0.014109347442680775,0.09756097560975607,0.02183406113537123,0.09090909090909094,0.0011046394858404973,0.017621145374449365,0.001500477424635105,0.18181818181818177,0.030042918454935674,0.18181818181818177,0.2727272727272727,0.046979865771812124,0.01683501683501687,0.1228070175438597,0.10256410256410253,0.125,0.00395061728395063,0.1228070175438597,0.08510638297872342,0.06976744186046513,0.18181818181818177,0.03355704697986572,0.08799999999999997,0.0490196078431373,0.06043956043956045,0.07999999999999996,0.023136246786632397,0.02450980392156865,0.09090909090909094,0.027431421446383997,0.09090909090909094,0.3157894736842105,0.2727272727272727,0.09090909090909094,0.06000000000000005,0.0714285714285714,0.031088082901554404,0.2222222222222222,0.36363636363636365,0.36363636363636365,0.16666666666666663,0.38888888888888884
1,entry,0.0035807291666666297,1,0.0185546875,0.029296875,0.01302083333333337,0.0032552083333333703,0.00390625,0.45805825242718445,0.48590519941532684,0.455078125,0.0048828125,0.06966145833333337,0.00455729166666663,0.0048828125,0.0048828125,0.00520833333333337,0.005859375,0.01497395833333337,0.00455729166666663,0.0006510416666666297,0.33731125182659527,0.1533203125,0.04427083333333337,0.09342447916666663,0.01106770833333337,0.03059895833333337,0.0013020833333333703,0.16750351476200043,0.02734375,0.21279498022097942,0.0006510416666666297,0.0234375,0.0006510416666666297,0.0016276041666666297,0.03157552083333337,0.0517578125,0.01334635416666663,0.01432291666666663,0.00618489583333337,0.12369791666666663,0.01334635416666663,0.02115885416666663,0.02766927083333337,0.0006510416666666297,0.04427083333333337,0.02571614583333337,0.02278645833333337,0.03450520833333337,0.0126953125,0.0888671875,0.10546875,0.0009765625,0.09635416666666663,0.0009765625,0.00553385416666663,0.0029296875,0.0006510416666666297,0.03841145833333337,0.0032552083333333703,0.02669270833333337,0.005859375,0.0016276041666666297,0.0016276041666666297,0.00390625,0.005859375
2,_mySIGSEGVorSIGBUScatcher,0.14035087719298245,0.0185546875,1,0.22764227642276424,0.1578947368421053,0.17543859649122806,0.21052631578947367,0.01106796116504849,0.011902276049279625,0.03231292517006801,0.19298245614035092,0.21363636363636362,0.24561403508771928,0.26315789473684215,0.26315789473684215,0.24561403508771928,0.3157894736842105,0.543859649122807,0.24561403508771928,0.03508771929824561,0.013638577691183595,0.04400000000000004,0.05213270142180093,0.08994708994709,0.1578947368421053,0.08296943231441045,0.03508771929824561,0.005523197429202598,0.04405286343612336,0.007502387123175525,0.03508771929824561,0.05579399141630903,0.03508771929824561,0.08771929824561409,0.10738255033557043,0.04208754208754206,0.10526315789473684,0.08974358974358976,0.21052631578947367,0.024691358024691357,0.10526315789473684,0.14893617021276595,0.1472868217054264,0.03508771929824561,0.08053691275167785,0.12,0.08823529411764708,0.11538461538461542,0.10526315789473684,0.10796915167095111,0.10049019607843135,0.03508771929824561,0.1271820448877805,0.03508771929824561,0.21052631578947367,0.14035087719298245,0.03508771929824561,0.20666666666666667,0.07017543859649122,0.041450777202072575,0.3157894736842105,0.08771929824561409,0.08771929824561409,0.21052631578947367,0.2807017543859649
3,_addFlagsFromEnvVar,0.07317073170731703,0.029296875,0.22764227642276424,1,0.2032520325203252,0.08130081300813008,0.08130081300813008,0.01844660194174752,0.018584255585717302,0.04535147392290251,0.10569105691056913,0.19545454545454544,0.08943089430894313,0.08943089430894313,0.08943089430894313,0.10569105691056913,0.09756097560975607,0.22764227642276424,0.08130081300813008,0.016260162601625994,0.025572333170969297,0.08560000000000001,0.12085308056872035,0.1393298059964727,0.22764227642276424,0.17903930131004364,0.024390243902439046,0.011448081944165467,0.14977973568281944,0.015686809439367067,0.016260162601625994,0.14163090128755362,0.03252032520325199,0.03252032520325199,0.19463087248322153,0.11447811447811451,0.22764227642276424,0.1869918699186992,0.1707317073170732,0.05432098765432103,0.22764227642276424,0.2032520325203252,0.13178294573643412,0.016260162601625994,0.17449664429530198,0.15200000000000002,0.17886178861788615,0.20329670329670335,0.1707317073170732,0.1516709511568124,0.13725490196078427,0.016260162601625994,0.15710723192019949,0.016260162601625994,0.11382113821138207,0.07317073170731703,0.016260162601625994,0.2466666666666667,0.07317073170731703,0.15544041450777202,0.09756097560975607,0.04065040650406504,0.04065040650406504,0.08130081300813008,0.1382113821138211
4,_snocString,0.1428571428571429,0.01302083333333337,0.1578947368421053,0.2032520325203252,1,0.1428571428571429,0.10204081632653061,0.007766990291262155,0.007726038839006022,0.019274376417233507,0.10204081632653061,0.08636363636363631,0.1428571428571429,0.12244897959183676,0.12244897959183676,0.12244897959183676,0.1428571428571429,0.16326530612244894,0.12244897959183676,0.04081632653061229,0.010716025328787127,0.034399999999999986,0.042654028436018954,0.06349206349206349,0.1428571428571429,0.10480349344978168,0.061224489795918324,0.004719823257682276,0.08370044052863435,0.00600190969854042,0.04081632653061229,0.11158798283261806,0.061224489795918324,0.10204081632653061,0.16778523489932884,0.05892255892255893,0.22807017543859653,0.21794871794871795,0.1428571428571429,0.01925925925925931,0.22807017543859653,0.26595744680851063,0.20155038759689925,0.04081632653061229,0.11073825503355705,0.22399999999999998,0.196078431372549,0.17582417582417587,0.30000000000000004,0.06426735218508994,0.05392156862745101,0.04081632653061229,0.08977556109725682,0.04081632653061229,0.16326530612244894,0.10204081632653061,0.020408163265306145,0.14,0.10204081632653061,0.11917098445595853,0.1428571428571429,0.08163265306122447,0.08163265306122447,0.10204081632653061,0.16326530612244894
5,_usage,0.2727272727272727,0.0032552083333333703,0.17543859649122806,0.08130081300813008,0.1428571428571429,1,0.5833333333333333,0.001941747572815511,0.0020881186051368017,0.005668934240362855,0.4666666666666667,0.045454545454545414,0.6428571428571428,0.5333333333333333,0.5333333333333333,0.5,0.4444444444444444,0.21739130434782605,0.5714285714285714,0.19999999999999996,0.002435460301997039,0.008000000000000007,0.014218009478673022,0.01763668430335097,0.09756097560975607,0.026200873362445365,0.09999999999999998,0.0010042177144005127,0.008810572687224627,0.0013640703860319237,0.19999999999999996,0.02145922746781115,0.19999999999999996,0.19999999999999996,0.04026845637583898,0.011784511784511786,0.10526315789473684,0.0641025641025641,0.16666666666666663,0.004444444444444473,0.10526315789473684,0.06382978723404253,0.054263565891472854,0.19999999999999996,0.023489932885906062,0.04800000000000004,0.02941176470588236,0.04395604395604391,0.06000000000000005,0.020565552699228773,0.022058823529411797,0.19999999999999996,0.02493765586034913,0.19999999999999996,0.368421052631579,0.5,0.19999999999999996,0.06000000000000005,0.1428571428571429,0.015544041450777257,0.4444444444444444,0.30000000000000004,0.30000000000000004,0.5833333333333333,0.5
6,_mySignalCatcher,0.16666666666666663,0.00390625,0.21052631578947367,0.08130081300813008,0.10204081632653061,0.5833333333333333,1,0.0023300970873786353,0.0025057423261640732,0.006802721088435382,0.5333333333333333,0.054545454545454564,0.5,0.8,0.8,0.75,0.6666666666666667,0.26086956521739135,0.5714285714285714,0.16666666666666663,0.002922552362396469,0.009600000000000053,0.011848341232227444,0.021164021164021163,0.09756097560975607,0.026200873362445365,0.08333333333333337,0.001205061257280593,0.008810572687224627,0.001500477424635105,0.16666666666666663,0.01716738197424894,0.16666666666666663,0.16666666666666663,0.04026845637583898,0.010101010101010055,0.08771929824561409,0.05128205128205132,0.16666666666666663,0.004444444444444473,0.08771929824561409,0.06382978723404253,0.054263565891472854,0.16666666666666663,0.02684563758389258,0.04800000000000004,0.02941176470588236,0.038461538461538436,0.06000000000000005,0.02570694087403602,0.02450980392156865,0.16666666666666663,0.029925187032418976,0.16666666666666663,0.3157894736842105,0.33333333333333337,0.16666666666666663,0.06666666666666665,0.1428571428571429,0.015544041450777257,0.6666666666666667,0.25,0.25,1,0.4444444444444444
7,_compress,0.002135922330097073,0.45805825242718445,0.01106796116504849,0.01844660194174752,0.007766990291262155,0.001941747572815511,0.0023300970873786353,1,0.6215533980582524,0.2970873786407767,0.002912621359223322,0.04213592233009711,0.0027184466019417597,0.002912621359223322,0.002912621359223322,0.003106796116504884,0.0034951456310680085,0.008932038834951417,0.0027184466019417597,0.0003883495145631244,0.32912621359223304,0.09631067961165052,0.0266019417475728,0.061747572815534,0.007184466019417468,0.017864077669902945,0.0007766990291262488,0.17513556939144403,0.017087378640776696,0.2052925930978039,0.0003883495145631244,0.01922330097087377,0.0005825242718446866,0.000970873786407811,0.018834951456310645,0.031067961165048508,0.009320388349514541,0.01106796116504849,0.004077669902912584,0.08155339805825246,0.009320388349514541,0.013203883495145674,0.01747572815533982,0.0003883495145631244,0.027961165048543735,0.015922330097087434,0.013592233009708687,0.022524271844660215,0.007766990291262155,0.05165048543689321,0.061165048543689315,0.0005825242718446866,0.05864077669902912,0.0005825242718446866,0.0036893203883494596,0.0017475728155339487,0.0003883495145631244,0.023106796116504902,0.0023300970873786353,0.01669902912621357,0.0034951456310680085,0.000970873786407811,0.000970873786407811,0.0023300970873786353,0.0034951456310680085
8,_uncompress,0.002296930465650493,0.48590519941532684,0.011902276049279625,0.018584255585717302,0.007726038839006022,0.0020881186051368017,0.0025057423261640732,0.6215533980582524,1,0.34537481728962205,0.003132177907705147,0.04552098559198159,0.0029233660471914558,0.003132177907705147,0.003132177907705147,0.0033409897682188383,0.003758613489246221,0.009605345583629132,0.0029233660471914558,0.00041762372102738254,0.33723115472958864,0.10628523700146164,0.02923366047191478,0.06535811234078093,0.007099603257465059,0.019001879306744573,0.0008352474420546541,0.1787507531632858,0.017957820004176228,0.21893329695812302,0.00041762372102738254,0.017749008143662537,0.0006264355815410738,0.0010440593025683453,0.019628314888285647,0.03320108582167469,0.010022969304656515,0.01106702860722486,0.004385049070787184,0.09229484234704532,0.010022969304656515,0.013155147212361662,0.019210691167258265,0.00041762372102738254,0.031739402798078964,0.016078513259553118,0.015243265817498464,0.024222175819586522,0.007517226978492331,0.05804969722280229,0.06828147838797238,0.0006264355815410738,0.06577573606180831,0.0006264355815410738,0.003967425349759912,0.0018793067446231104,0.00041762372102738254,0.02547504698266867,0.002296930465650493,0.01670494884109419,0.003758613489246221,0.0010440593025683453,0.0010440593025683453,0.0025057423261640732,0.003758613489246221
9,_testf,0.006235827664399118,0.455078125,0.03231292517006801,0.04535147392290251,0.019274376417233507,0.005668934240362855,0.006802721088435382,0.2970873786407767,0.34537481728962205,1,0.008503401360544172,0.1201814058956916,0.007936507936507908,0.008503401360544172,0.008503401360544172,0.009070294784580546,0.010204081632653073,0.02607709750566889,0.007936507936507908,0.0011337868480725266,0.276668290306868,0.2012471655328798,0.05725623582766437,0.14682539682539686,0.01814058956916098,0.03968253968253965,0.0022675736961451642,0.13356095601526408,0.03458049886621317,0.17391897421906966,0.0011337868480725266,0.03798185941043086,0.0011337868480725266,0.0028344671201814275,0.046485260770975034,0.05839002267573701,0.0226757369614512,0.0243764172335601,0.010770975056689336,0.1283950617283951,0.0226757369614512,0.030612244897959218,0.041383219954648554,0.0011337868480725266,0.059523809523809534,0.03628117913832196,0.031746031746031744,0.049886621315192725,0.01814058956916098,0.14229024943310653,0.1672335600907029,0.00170068027210879,0.16156462585034015,0.00170068027210879,0.00963718820861681,0.005102040816326481,0.0011337868480725266,0.05839002267573701,0.005102040816326481,0.03231292517006801,0.010204081632653073,0.0028344671201814275,0.0028344671201814275,0.006802721088435382,0.010204081632653073
10,_showFileNames,0.19999999999999996,0.0048828125,0.19298245614035092,0.10569105691056913,0.10204081632653061,0.4666666666666667,0.5333333333333333,0.002912621359223322,0.003132177907705147,0.008503401360544172,1,0.05909090909090908,0.6,0.33333333333333337,0.33333333333333337,0.375,0.2777777777777778,0.26086956521739135,0.4,0.1333333333333333,0.003409644422795899,0.011199999999999988,0.023696682464455,0.022927689594356315,0.19512195121951215,0.048034934497816595,0.1333333333333333,0.0014059048001606733,0.03083700440528636,0.0019096985404446487,0.1333333333333333,0.030042918454935674,0.1333333333333333,0.2666666666666667,0.05369127516778527,0.01851851851851849,0.1228070175438597,0.08974358974358976,0.20833333333333337,0.006419753086419733,0.1228070175438597,0.0957446808510638,0.0852713178294574,0.1333333333333333,0.03355704697986572,0.07199999999999995,0.0490196078431373,0.0494505494505495,0.09999999999999998,0.033419023136246784,0.02941176470588236,0.1333333333333333,0.032418952618453845,0.1333333333333333,0.21052631578947367,0.2666666666666667,0.1333333333333333,0.06666666666666665,0.1333333333333333,0.020725388601036232,0.2777777777777778,0.19999999999999996,0.19999999999999996,0.5333333333333333,0.2222222222222222
11,_cleanUpAndFail,0.045454545454545414,0.06966145833333337,0.21363636363636362,0.19545454545454544,0.08636363636363631,0.045454545454545414,0.054545454545454564,0.04213592233009711,0.04552098559198159,0.1201814058956916,0.05909090909090908,1,0.05909090909090908,0.06818181818181823,0.06818181818181823,0.07272727272727275,0.08181818181818179,0.20454545454545459,0.0636363636363636,0.009090909090909038,0.050657574281539164,0.14400000000000002,0.08056872037914697,0.23633156966490299,0.09545454545454546,0.06986899563318782,0.009090909090909038,0.021389837316730276,0.06167400881057272,0.02796344291365438,0.009090909090909038,0.047210300429184504,0.009090909090909038,0.018181818181818188,0.09999999999999998,0.06060606060606055,0.1045454545454545,0.08636363636363631,0.05909090909090908,0.0888888888888889,0.1045454545454545,0.09999999999999998,0.14090909090909087,0.009090909090909038,0.11409395973154357,0.11818181818181817,0.1045454545454545,0.13181818181818183,0.07727272727272727,0.3393316195372751,0.42647058823529416,0.009090909090909038,0.3665835411471322,0.009090909090909038,0.0636363636363636,0.040909090909090895,0.009090909090909038,0.25,0.027272727272727226,0.054545454545454564,0.08181818181818179,0.022727272727272707,0.022727272727272707,0.054545454545454564,0.08181818181818179
12,_cadvise,0.2142857142857143,0.00455729166666663,0.24561403508771928,0.08943089430894313,0.1428571428571429,0.6428571428571428,0.5,0.0027184466019417597,0.0029233660471914558,0.007936507936507908,0.6,0.05909090909090908,1,0.4666666666666667,0.4666666666666667,0.4375,0.38888888888888884,0.28260869565217395,0.5714285714285714,0.1428571428571429,0.003409644422795899,0.010399999999999965,0.018957345971563955,0.022927689594356315,0.14634146341463417,0.04366812227074235,0.1428571428571429,0.0013054830287205776,0.013215859030836996,0.0017732915018414674,0.1428571428571429,0.03862660944206009,0.1428571428571429,0.3571428571428571,0.06711409395973156,0.015151515151515138,0.1228070175438597,0.07692307692307687,0.20833333333333337,0.005432098765432047,0.1228070175438597,0.1063829787234043,0.0852713178294574,0.1428571428571429,0.03691275167785235,0.07199999999999995,0.0490196078431373,0.06043956043956045,0.12,0.03084832904884316,0.026960784313725505,0.1428571428571429,0.032418952618453845,0.1428571428571429,0.26315789473684215,0.3571428571428571,0.1428571428571429,0.06666666666666665,0.0714285714285714,0.020725388601036232,0.38888888888888884,0.2142857142857143,0.2142857142857143,0.5,0.38888888888888884
13,_outOfMemory,0.2666666666666667,0.0048828125,0.26315789473684215,0.08943089430894313,0.12244897959183676,0.5333333333333333,0.8,0.002912621359223322,0.003132177907705147,0.008503401360544172,0.33333333333333337,0.06818181818181823,0.4666666666666667,1,1,0.75,0.8333333333333334,0.32608695652173914,0.5333333333333333,0.1333333333333333,0.003653190452995614,0.01200000000000001,0.011848341232227444,0.02645502645502651,0.09756097560975607,0.026200873362445365,0.06666666666666665,0.001506326571600769,0.008810572687224627,0.0019096985404446487,0.1333333333333333,0.01716738197424894,0.1333333333333333,0.1333333333333333,0.04026845637583898,0.011784511784511786,0.08771929824561409,0.05128205128205132,0.125,0.00592592592592589,0.08771929824561409,0.06382978723404253,0.06201550387596899,0.1333333333333333,0.030201342281879207,0.05600000000000005,0.02941176470588236,0.04395604395604391,0.06000000000000005,0.03084832904884316,0.02941176470588236,0.1333333333333333,0.03740648379052369,0.1333333333333333,0.368421052631579,0.2666666666666667,0.1333333333333333,0.07999999999999996,0.06666666666666665,0.015544041450777257,0.8333333333333334,0.2666666666666667,0.2666666666666667,0.8,0.4444444444444444
14,_panic,0.2666666666666667,0.0048828125,0.26315789473684215,0.08943089430894313,0.12244897959183676,0.5333333333333333,0.8,0.002912621359223322,0.003132177907705147,0.008503401360544172,0.33333333333333337,0.06818181818181823,0.4666666666666667,1,1,0.75,0.8333333333333334,0.32608695652173914,0.5333333333333333,0.1333333333333333,0.003653190452995614,0.01200000000000001,0.011848341232227444,0.02645502645502651,0.09756097560975607,0.026200873362445365,0.06666666666666665,0.001506326571600769,0.008810572687224627,0.0019096985404446487,0.1333333333333333,0.01716738197424894,0.1333333333333333,0.1333333333333333,0.04026845637583898,0.011784511784511786,0.08771929824561409,0.05128205128205132,0.125,0.00592592592592589,0.08771929824561409,0.06382978723404253,0.06201550387596899,0.1333333333333333,0.030201342281879207,0.05600000000000005,0.02941176470588236,0.04395604395604391,0.06000000000000005,0.03084832904884316,0.02941176470588236,0.1333333333333333,0.03740648379052369,0.1333333333333333,0.368421052631579,0.2666666666666667,0.1333333333333333,0.07999999999999996,0.06666666666666665,0.015544041450777257,0.8333333333333334,0.2666666666666667,0.2666666666666667,0.8,0.4444444444444444
15,_configError,0.25,0.00520833333333337,0.24561403508771928,0.10569105691056913,0.12244897959183676,0.5,0.75,0.003106796116504884,0.0033409897682188383,0.009070294784580546,0.375,0.07272727272727275,0.4375,0.75,0.75,1,0.6666666666666667,0.32608695652173914,0.5,0.125,0.003896736483195329,0.012800000000000034,0.018957345971563955,0.02821869488536155,0.1707317073170732,0.04366812227074235,0.0625,0.0016067483430407536,0.022026431718061623,0.00204610557904783,0.125,0.02145922746781115,0.125,0.1875,0.046979865771812124,0.015151515151515138,0.10526315789473684,0.07692307692307687,0.16666666666666663,0.006419753086419733,0.10526315789473684,0.0957446808510638,0.07751937984496127,0.125,0.03691275167785235,0.07999999999999996,0.02941176470588236,0.0494505494505495,0.07999999999999996,0.033419023136246784,0.02941176470588236,0.125,0.03990024937655856,0.125,0.26315789473684215,0.4375,0.125,0.07999999999999996,0.0625,0.025906735751295318,0.6666666666666667,0.1875,0.1875,0.75,0.5
16,_crcError,0.2222222222222222,0.005859375,0.3157894736842105,0.09756097560975607,0.1428571428571429,0.4444444444444444,0.6666666666666667,0.0034951456310680085,0.003758613489246221,0.010204081632653073,0.2777777777777778,0.08181818181818179,0.38888888888888884,0.8333333333333334,0.8333333333333334,0.6666666666666667,1,0.3913043478260869,0.5,0.11111111111111116,0.004383828543594759,0.014399999999999968,0.011848341232227444,0.031746031746031744,0.07317073170731703,0.026200873362445365,0.05555555555555558,0.001807591885920834,0.008810572687224627,0.0023189196562543035,0.11111111111111116,0.01716738197424894,0.11111111111111116,0.11111111111111116,0.04026845637583898,0.011784511784511786,0.08771929824561409,0.05128205128205132,0.08333333333333337,0.006913580246913575,0.08771929824561409,0.07446808510638303,0.06976744186046513,0.11111111111111116,0.030201342281879207,0.05600000000000005,0.02941176470588236,0.0494505494505495,0.06000000000000005,0.03598971722365041,0.03431372549019607,0.11111111111111116,0.04488778054862841,0.11111111111111116,0.26315789473684215,0.2222222222222222,0.11111111111111116,0.09333333333333338,0.11111111111111116,0.015544041450777257,1,0.2222222222222222,0.2222222222222222,0.6666666666666667,0.4444444444444444
17,_compressedStreamEOF,0.17391304347826086,0.01497395833333337,0.543859649122807,0.22764227642276424,0.16326530612244894,0.21739130434782605,0.26086956521739135,0.008932038834951417,0.009605345583629132,0.02607709750566889,0.26086956521739135,0.20454545454545459,0.28260869565217395,0.32608695652173914,0.32608695652173914,0.32608695652173914,0.3913043478260869,1,0.26086956521739135,0.04347826086956519,0.011203117389186557,0.036800000000000055,0.04739336492891,0.07231040564373903,0.21739130434782605,0.09170305676855894,0.04347826086956519,0.004518979714802196,0.052863436123347984,0.006138316737143601,0.04347826086956519,0.06437768240343344,0.04347826086956519,0.08695652173913049,0.10738255033557043,0.04040404040404044,0.19298245614035092,0.11538461538461542,0.19565217391304346,0.01975308641975304,0.19298245614035092,0.14893617021276595,0.15503875968992253,0.04347826086956519,0.08389261744966447,0.128,0.11764705882352944,0.1208791208791209,0.12,0.09768637532133673,0.09313725490196079,0.04347826086956519,0.11221945137157108,0.04347826086956519,0.23913043478260865,0.17391304347826086,0.04347826086956519,0.23333333333333328,0.10869565217391308,0.04663212435233166,0.3913043478260869,0.10869565217391308,0.10869565217391308,0.26086956521739135,0.3695652173913043
18,_OUTLINED_FUNCTION_0,0.1428571428571429,0.00455729166666663,0.24561403508771928,0.08130081300813008,0.12244897959183676,0.5714285714285714,0.5714285714285714,0.0027184466019417597,0.0029233660471914558,0.007936507936507908,0.4,0.0636363636363636,0.5714285714285714,0.5333333333333333,0.5333333333333333,0.5,0.5,0.26086956521739135,1,0.1428571428571429,0.003409644422795899,0.010399999999999965,0.018957345971563955,0.022927689594356315,0.1707317073170732,0.03493449781659386,0.0714285714285714,0.0013054830287205776,0.008810572687224627,0.0017732915018414674,0.1428571428571429,0.02145922746781115,0.1428571428571429,0.1428571428571429,0.06040268456375841,0.013468013468013518,0.10526315789473684,0.05128205128205132,0.16666666666666663,0.006419753086419733,0.10526315789473684,0.07446808510638303,0.06976744186046513,0.1428571428571429,0.03355704697986572,0.06399999999999995,0.02941176470588236,0.0494505494505495,0.06000000000000005,0.033419023136246784,0.02941176470588236,0.1428571428571429,0.032418952618453845,0.1428571428571429,0.3157894736842105,0.2857142857142857,0.1428571428571429,0.06666666666666665,0.0714285714285714,0.015544041450777257,0.5,0.1428571428571429,0.1428571428571429,0.5714285714285714,0.33333333333333337
19,_OUTLINED_FUNCTION_1,0.18181818181818177,0.0006510416666666297,0.03508771929824561,0.016260162601625994,0.04081632653061229,0.19999999999999996,0.16666666666666663,0.0003883495145631244,0.00041762372102738254,0.0011337868480725266,0.1333333333333333,0.009090909090909038,0.1428571428571429,0.1333333333333333,0.1333333333333333,0.125,0.11111111111111116,0.04347826086956519,0.1428571428571429,1,0.00048709206039943,0.0016000000000000458,0.0023696682464454666,0.003527336860670194,0.024390243902439046,0.004366812227074246,0.25,0.00020084354288008033,0.004405286343612369,0.0002728140772063625,0.5,0.0042918454935622075,0.5,0.4,0.006711409395973145,0.0033670033670033517,0.01754385964912286,0.012820512820512775,0.04166666666666663,0.0004938271604938427,0.01754385964912286,0.021276595744680882,0.015503875968992276,1,0.006711409395973145,0.016000000000000014,0.019607843137254943,0.01098901098901095,0.020000000000000018,0.005141388174807249,0.004901960784313708,0.6666666666666667,0.004987531172069848,0.6666666666666667,0.10526315789473684,0.2222222222222222,0,0.013333333333333308,0.0714285714285714,0.005181347150259086,0.11111111111111116,0.4,0.4,0.16666666666666663,0.11111111111111116
20,_BZ2_blockSort,0.002679006332196754,0.33731125182659527,0.013638577691183595,0.025572333170969297,0.010716025328787127,0.002435460301997039,0.002922552362396469,0.32912621359223304,0.33723115472958864,0.276668290306868,0.003409644422795899,0.050657574281539164,0.003409644422795899,0.003653190452995614,0.003653190452995614,0.003896736483195329,0.004383828543594759,0.011203117389186557,0.003409644422795899,0.00048709206039943,1,0.17827569410618604,0.06356551388212373,0.09790550414028254,0.009254749147588948,0.044812469556746226,0.00097418412079886,0.17935328379192605,0.04651729176814423,0.23189196562542624,0.00048709206039943,0.03701899659035557,0.00097418412079886,0.001217730150998575,0.028007793472966336,0.0769605455431076,0.012177301509985416,0.01729176814417921,0.005845104724792938,0.14564052605942523,0.012177301509985416,0.01924013638577693,0.025815879201169012,0.00048709206039943,0.050170482221139845,0.025815879201169012,0.022406234778373113,0.034339990258158815,0.011203117389186557,0.07403799318071114,0.08377983438869951,0.000730638090599145,0.07817827569410618,0.000730638090599145,0.004383828543594759,0.002191914271797324,0.00048709206039943,0.033852898197759385,0.003166098392596184,0.04237700925474919,0.004383828543594759,0.001217730150998575,0.001217730150998575,0.002922552362396469,0.004383828543594759
