result,58293513958,1
left,birthmark,bzip2-1.0.5,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.5,op-seq,2026-04-17T04:57:47.890829+00:00,3127708
right,birthmark,bzip2-1.0.5,/Users/tamada/researches/2026snpd_tamada_experiments/experiments/experiment0/executables/bzip2-1.0.5,op-seq,2026-04-17T04:57:47.890829+00:00,3127708
matrix,,entry,_mySIGSEGVorSIGBUScatcher,_addFlagsFromEnvVar,_snocString,_usage,_mySignalCatcher,_compress,_uncompress,_testf,_showFileNames,_cleanUpAndFail,_cadvise,_outOfMemory,_panic,_uInt64_toAscii,_configError,_crcError,_compressedStreamEOF,_OUTLINED_FUNCTION_0,_OUTLINED_FUNCTION_1,_BZ2_blockSort,_fallbackSort,_mainGtU,_BZ2_hbMakeCodeLengths,_BZ2_hbAssignCodes,_BZ2_hbCreateDecodeTables,_BZ2_bsInitWrite,_BZ2_compressBlock,_bsPutUInt32,_BZ2_decompress,_BZ2_bzlibVersion,_BZ2_bzCompressInit,_default_bzalloc,_default_bzfree,_BZ2_bzCompress,_handle_compress,_BZ2_bzCompressEnd,_BZ2_bzDecompressInit,_BZ2_indexIntoF,_BZ2_bzDecompress,_BZ2_bzDecompressEnd,_BZ2_bzWriteOpen,_BZ2_bzWrite,_BZ2_bzWriteClose,_BZ2_bzWriteClose64,_BZ2_bzReadOpen,_BZ2_bzReadClose,_BZ2_bzRead,_BZ2_bzReadGetUnused,_BZ2_bzBuffToBuffCompress,_BZ2_bzBuffToBuffDecompress,_BZ2_bzopen,_bzopen_or_bzdopen,_BZ2_bzdopen,_BZ2_bzread,_BZ2_bzwrite,_BZ2_bzflush,_BZ2_bzclose,_BZ2_bzerror,_add_pair_to_block,_ioError,_main.cold.2,_main.cold.3,_BZ2_bz__AssertH__fail
0,entry,1,0.01798107255520509,0.05110410094637219,0.019242902208201906,0.003154574132492094,0.003785488958990557,0.4120135363790186,0.41360995850622406,0.4094637223974763,0.004731861198738141,0.06782334384858046,0.004416403785488909,0.004731861198738141,0.004731861198738141,0.038801261829653044,0.0050473186119873725,0.005678233438485836,0.01356466876971607,0.004416403785488909,0.0006309148264984632,0.07250705614775432,0.15488958990536272,0.04258675078864349,0.1214511041009464,0.01135646687697156,0.052365930599369115,0.0012618296529968154,0.055560033855950985,0.02649842271293379,0.021766561514195537,0.0006309148264984632,0.045741324921135695,0.0006309148264984632,0.001577287066246047,0.03154574132492116,0.09211356466876974,0.014511041009463765,0.016088328075709812,0.005993690851735067,0.12208201892744475,0.014511041009463765,0.02018927444794949,0.027444794952681373,0.0006309148264984632,0.04195583596214514,0.025236593059936863,0.023028391167192463,0.03123028391167193,0.012618296529968487,0.08864353312302842,0.09747634069400635,0.0009463722397475838,0.09305993690851733,0.0009463722397475838,0.005362776025236604,0.0028391167192428624,0.0006309148264984632,0.03186119873817039,0.0034700315457413256,0.023659305993690816,0.005678233438485836,0.001577287066246047,0.003785488958990557,0.005678233438485836
1,_mySIGSEGVorSIGBUScatcher,0.01798107255520509,1,0.14785992217898836,0.3285714285714286,0.17543859649122806,0.21052631578947367,0.009644670050761417,0.00946058091286306,0.03213077790304397,0.19298245614035092,0.21363636363636362,0.24561403508771928,0.26315789473684215,0.26315789473684215,0.1123188405797102,0.24561403508771928,0.3157894736842105,0.49122807017543857,0.24561403508771928,0.03508771929824561,0.0015619433864029197,0.0390625,0.05213270142180093,0.041699449252557086,0.1578947368421053,0.03862660944206009,0.03508771929824561,0.0011285316996493266,0.05701754385964908,0.03809523809523807,0.03508771929824561,0.10197368421052633,0.03508771929824561,0.08771929824561409,0.09589041095890416,0.04714142427281842,0.10526315789473684,0.08974358974358976,0.21052631578947367,0.02385496183206104,0.10526315789473684,0.15384615384615385,0.11258278145695366,0.03508771929824561,0.07958477508650519,0.1322314049586777,0.07476635514018692,0.10795454545454541,0.10526315789473684,0.10886075949367091,0.10148514851485146,0.03508771929824561,0.13262599469496017,0.03508771929824561,0.21052631578947367,0.14035087719298245,0.03508771929824561,0.20300751879699253,0.07017543859649122,0.041450777202072575,0.3157894736842105,0.08771929824561409,0.21052631578947367,0.2807017543859649
2,_addFlagsFromEnvVar,0.05110410094637219,0.14785992217898836,1,0.1556420233463035,0.03891050583657585,0.04280155642023342,0.023519458544839278,0.028879668049792584,0.07666290868094705,0.054474708171206254,0.17898832684824906,0.046692607003890996,0.05058365758754868,0.05058365758754868,0.22101449275362317,0.054474708171206254,0.05836575875486383,0.11284046692607008,0.05058365758754868,0.0077821011673151474,0.006028553421204119,0.1399147727272727,0.15165876777251186,0.15027537372147914,0.1245136186770428,0.16595135908440628,0.015564202334630295,0.004675345612833004,0.1245136186770428,0.11673151750972766,0.0077821011673151474,0.2203947368421053,0.015564202334630295,0.015564202334630295,0.21011673151750976,0.15045135406218657,0.1400778210116731,0.15953307392996108,0.08560311284046696,0.09637404580152675,0.1400778210116731,0.16731517509727623,0.16342412451361865,0.0077821011673151474,0.16262975778546718,0.19844357976653693,0.16342412451361865,0.1712062256809338,0.12062256809338523,0.22025316455696198,0.1955445544554455,0.0077821011673151474,0.22015915119363394,0.0077821011673151474,0.07003891050583655,0.035019455252918275,0.0077821011673151474,0.2023346303501945,0.046692607003890996,0.1556420233463035,0.05836575875486383,0.01945525291828798,0.04280155642023342,0.05836575875486383
3,_snocString,0.019242902208201906,0.3285714285714286,0.1556420233463035,1,0.1428571428571429,0.15714285714285714,0.010152284263959421,0.010456431535269761,0.033258173618940234,0.15714285714285714,0.17272727272727273,0.15714285714285714,0.19999999999999996,0.19999999999999996,0.10869565217391308,0.17142857142857137,0.24285714285714288,0.3571428571428571,0.17142857142857137,0.02857142857142858,0.001698955964157478,0.043323863636363646,0.06161137440758291,0.04405979543666405,0.18571428571428572,0.045779685264663805,0.05714285714285716,0.0013703599210027617,0.08333333333333337,0.0714285714285714,0.02857142857142858,0.11513157894736847,0.042857142857142816,0.0714285714285714,0.1643835616438356,0.054162487462387165,0.2142857142857143,0.14102564102564108,0.15714285714285714,0.027194656488549573,0.2142857142857143,0.19780219780219777,0.17880794701986757,0.02857142857142858,0.11764705882352944,0.1900826446280992,0.14953271028037385,0.15909090909090906,0.2571428571428571,0.09367088607594942,0.09405940594059403,0.042857142857142816,0.12997347480106103,0.042857142857142816,0.15714285714285714,0.11428571428571432,0.02857142857142858,0.21804511278195493,0.0714285714285714,0.10880829015544047,0.24285714285714288,0.0714285714285714,0.15714285714285714,0.18571428571428572
4,_usage,0.003154574132492094,0.17543859649122806,0.03891050583657585,0.1428571428571429,1,0.5833333333333333,0.0016920473773265332,0.0016597510373443924,0.005636978579481422,0.4666666666666667,0.045454545454545414,0.6428571428571428,0.5333333333333333,0.5333333333333333,0.02898550724637683,0.5,0.4444444444444444,0.2325581395348837,0.5714285714285714,0.19999999999999996,0.0002740251555092277,0.007102272727272707,0.014218009478673022,0.007867820613689958,0.09756097560975607,0.007153075822603716,0.09999999999999998,0.00020152351779456623,0.00877192982456143,0.01904761904761909,0.19999999999999996,0.023026315789473673,0.19999999999999996,0.19999999999999996,0.04109589041095896,0.010030090270812475,0.10526315789473684,0.0641025641025641,0.16666666666666663,0.00429389312977102,0.10526315789473684,0.06593406593406592,0.04635761589403975,0.19999999999999996,0.02422145328719727,0.04958677685950408,0.028037383177570097,0.03409090909090906,0.06000000000000005,0.020253164556962022,0.022277227722772297,0.19999999999999996,0.02652519893899208,0.19999999999999996,0.368421052631579,0.5,0.19999999999999996,0.06015037593984962,0.1428571428571429,0.015544041450777257,0.4444444444444444,0.30000000000000004,0.5833333333333333,0.5
5,_mySignalCatcher,0.003785488958990557,0.21052631578947367,0.04280155642023342,0.15714285714285714,0.5833333333333333,1,0.0020304568527919065,0.001991701244813293,0.006764374295377684,0.5333333333333333,0.054545454545454564,0.5,0.8,0.8,0.03260869565217395,0.75,0.6666666666666667,0.2790697674418605,0.5714285714285714,0.16666666666666663,0.0003288301866111176,0.008522727272727293,0.011848341232227444,0.009441384736427971,0.09756097560975607,0.007153075822603716,0.08333333333333337,0.00024182822135343507,0.00877192982456143,0.01904761904761909,0.16666666666666663,0.02631578947368418,0.16666666666666663,0.16666666666666663,0.04109589041095896,0.011033099297893645,0.08771929824561409,0.05128205128205132,0.16666666666666663,0.004770992366412208,0.08771929824561409,0.06593406593406592,0.039735099337748325,0.16666666666666663,0.02768166089965396,0.04958677685950408,0.028037383177570097,0.03409090909090906,0.06000000000000005,0.025316455696202556,0.024752475247524774,0.16666666666666663,0.03183023872679047,0.16666666666666663,0.3157894736842105,0.33333333333333337,0.16666666666666663,0.06766917293233088,0.1428571428571429,0.015544041450777257,0.6666666666666667,0.25,1,0.4444444444444444
6,_compress,0.4120135363790186,0.009644670050761417,0.023519458544839278,0.010152284263959421,0.0016920473773265332,0.0020304568527919065,1,0.6345228215767635,0.24568527918781724,0.0025380710659898,0.036886632825719134,0.0023688663282571687,0.0025380710659898,0.0025380710659898,0.0201353637901861,0.002707275803722542,0.003045685279187804,0.007275803722504248,0.0023688663282571687,0.00033840947546526223,0.1493437097525553,0.08341793570219969,0.0201353637901861,0.06379018612521148,0.005414551607444973,0.023519458544839278,0.0005076142131980044,0.11132159122969654,0.013197969543147225,0.010829103214890057,0.00033840947546526223,0.02504230118443318,0.0005076142131980044,0.0008460236886632666,0.014551607445008496,0.04754653130287645,0.007445008460236879,0.007783417935702253,0.0032148900169204353,0.06615905245346865,0.007445008460236879,0.009644670050761417,0.014213197969543123,0.00033840947546526223,0.021996615905245376,0.012013536379018586,0.010829103214890057,0.015905245346869767,0.005583756345177715,0.044331641285956014,0.05177664974619289,0.0005076142131980044,0.04873096446700509,0.0005076142131980044,0.002876480541455173,0.001522842639593902,0.00033840947546526223,0.0160744500846024,0.001353637901861271,0.011505922165820692,0.003045685279187804,0.0008460236886632666,0.0020304568527919065,0.003045685279187804
7,_uncompress,0.41360995850622406,0.00946058091286306,0.028879668049792584,0.010456431535269761,0.0016597510373443924,0.001991701244813293,0.6345228215767635,1,0.27518672199170124,0.0024896265560165887,0.036182572614107844,0.002323651452282194,0.0024896265560165887,0.0024896265560165887,0.024896265560165998,0.0026556016597509835,0.002987551867219884,0.007136929460580865,0.002323651452282194,0.0003319502074689007,0.1455895651220782,0.0947717842323651,0.024398340248962702,0.0703734439834025,0.006141078838174274,0.03219917012448137,0.0006639004149378014,0.10983031719801706,0.016597510373444035,0.014107883817427336,0.0003319502074689007,0.029875518672199175,0.0004979253112032955,0.0008298755186721962,0.016597510373444035,0.052946058091286274,0.007966804979253062,0.00946058091286306,0.003319502074688785,0.07502074688796678,0.007966804979253062,0.011286307053941957,0.016929460580912825,0.0003319502074689007,0.02589211618257259,0.013443983402489645,0.013443983402489645,0.01892116182572612,0.006473029045643175,0.04929460580912859,0.05460580912863067,0.0004979253112032955,0.05145228215767639,0.0004979253112032955,0.002987551867219884,0.0014937759336099976,0.0003319502074689007,0.018091286307053922,0.0018257261410787873,0.014107883817427336,0.002987551867219884,0.0008298755186721962,0.001991701244813293,0.002987551867219884
8,_testf,0.4094637223974763,0.03213077790304397,0.07666290868094705,0.033258173618940234,0.005636978579481422,0.006764374295377684,0.24568527918781724,0.27518672199170124,1,0.008455467869222133,0.12006764374295376,0.007891770011273946,0.008455467869222133,0.008455467869222133,0.06482525366403613,0.009019165727170209,0.01014656144306647,0.024239007891770026,0.007891770011273946,0.0011273957158962622,0.04247389910393773,0.2034949267192785,0.06200676437429542,0.17023675310033826,0.01916572717023679,0.07891770011273957,0.0022547914317925244,0.03149812583128453,0.0467869222096956,0.037767756482525394,0.0011273957158962622,0.07891770011273957,0.0011273957158962622,0.002818489289740711,0.049605411499436314,0.1313416009019166,0.024239007891770026,0.02931228861330326,0.011273957158962844,0.12929389312977102,0.024239007891770026,0.03494926719278468,0.049605411499436314,0.0011273957158962622,0.06482525366403613,0.04227733934611044,0.03833145434047347,0.05186020293122884,0.021420518602029315,0.14599774520856823,0.1657271702367531,0.0016910935738444488,0.153325817361894,0.0016910935738444488,0.01014656144306647,0.005073280721533235,0.0011273957158962622,0.0529875986471251,0.006200676437429498,0.038895152198421656,0.01014656144306647,0.002818489289740711,0.006764374295377684,0.01014656144306647
9,_showFileNames,0.004731861198738141,0.19298245614035092,0.054474708171206254,0.15714285714285714,0.4666666666666667,0.5333333333333333,0.0025380710659898,0.0024896265560165887,0.008455467869222133,1,0.05909090909090908,0.6,0.33333333333333337,0.33333333333333337,0.04347826086956519,0.4375,0.2777777777777778,0.2558139534883721,0.4,0.1333333333333333,0.00041103773326389703,0.009943181818181768,0.023696682464455,0.011014948859165985,0.19512195121951215,0.01573676680972813,0.1333333333333333,0.0002821329249123039,0.030701754385964897,0.023809523809523836,0.1333333333333333,0.03289473684210531,0.1333333333333333,0.2666666666666667,0.0547945205479452,0.014042126379137376,0.1228070175438597,0.08974358974358976,0.20833333333333337,0.006202290076335881,0.1228070175438597,0.09890109890109888,0.06622516556291391,0.1333333333333333,0.03806228373702425,0.07438016528925617,0.03738317757009346,0.045454545454545414,0.09999999999999998,0.032911392405063244,0.02970297029702973,0.1333333333333333,0.03448275862068961,0.1333333333333333,0.21052631578947367,0.2666666666666667,0.1333333333333333,0.09022556390977443,0.1333333333333333,0.020725388601036232,0.2777777777777778,0.19999999999999996,0.5333333333333333,0.2222222222222222
10,_cleanUpAndFail,0.06782334384858046,0.21363636363636362,0.17898832684824906,0.17272727272727273,0.045454545454545414,0.054545454545454564,0.036886632825719134,0.036182572614107844,0.12006764374295376,0.05909090909090908,1,0.05909090909090908,0.06818181818181823,0.06818181818181823,0.1159420289855072,0.07272727272727275,0.08181818181818179,0.19090909090909092,0.0636363636363636,0.009090909090909038,0.005864138327898449,0.1328125,0.08293838862559244,0.13375295043273017,0.09545454545454546,0.07153075822603716,0.009090909090909038,0.0043932126879207,0.07017543859649122,0.050000000000000044,0.009090909090909038,0.2203947368421053,0.009090909090909038,0.018181818181818188,0.09999999999999998,0.13340020060180546,0.1045454545454545,0.08181818181818179,0.05909090909090908,0.08062977099236646,0.1045454545454545,0.09999999999999998,0.12272727272727268,0.009090909090909038,0.11418685121107264,0.12272727272727268,0.09999999999999998,0.1045454545454545,0.07727272727272727,0.3341772151898734,0.4356435643564357,0.009090909090909038,0.3846153846153846,0.009090909090909038,0.0636363636363636,0.040909090909090895,0.009090909090909038,0.22272727272727277,0.027272727272727226,0.054545454545454564,0.08181818181818179,0.022727272727272707,0.054545454545454564,0.08181818181818179
11,_cadvise,0.004416403785488909,0.24561403508771928,0.046692607003890996,0.15714285714285714,0.6428571428571428,0.5,0.0023688663282571687,0.002323651452282194,0.007891770011273946,0.6,0.05909090909090908,1,0.4666666666666667,0.4666666666666667,0.04347826086956519,0.4375,0.38888888888888884,0.3023255813953488,0.5714285714285714,0.1428571428571429,0.00038363521771300757,0.009232954545454586,0.018957345971563955,0.010228166797797034,0.14634146341463417,0.012875536480686733,0.1428571428571429,0.0002619805731328695,0.013157894736842146,0.023809523809523836,0.1428571428571429,0.03289473684210531,0.1428571428571429,0.3571428571428571,0.06849315068493156,0.012036108324974926,0.1228070175438597,0.07692307692307687,0.20833333333333337,0.005248091603053395,0.1228070175438597,0.10989010989010994,0.05960264900662249,0.1428571428571429,0.03806228373702425,0.07438016528925617,0.03738317757009346,0.0625,0.12,0.027848101265822822,0.027227722772277252,0.1428571428571429,0.03448275862068961,0.1428571428571429,0.26315789473684215,0.3571428571428571,0.1428571428571429,0.07518796992481203,0.0714285714285714,0.020725388601036232,0.38888888888888884,0.2142857142857143,0.5,0.38888888888888884
12,_outOfMemory,0.004731861198738141,0.26315789473684215,0.05058365758754868,0.19999999999999996,0.5333333333333333,0.8,0.0025380710659898,0.0024896265560165887,0.008455467869222133,0.33333333333333337,0.06818181818181823,0.4666666666666667,1,1,0.03985507246376807,0.75,0.8333333333333334,0.34883720930232553,0.5333333333333333,0.1333333333333333,0.00041103773326389703,0.01065340909090906,0.011848341232227444,0.011801730920535047,0.09756097560975607,0.007153075822603716,0.06666666666666665,0.0003022852766917383,0.00877192982456143,0.01904761904761909,0.1333333333333333,0.02960526315789469,0.1333333333333333,0.1333333333333333,0.04109589041095896,0.014042126379137376,0.08771929824561409,0.05128205128205132,0.125,0.005725190839694694,0.08771929824561409,0.06593406593406592,0.04635761589403975,0.1333333333333333,0.03114186851211076,0.05785123966942152,0.028037383177570097,0.03977272727272729,0.06000000000000005,0.03037974683544309,0.02970297029702973,0.1333333333333333,0.03978779840848812,0.1333333333333333,0.368421052631579,0.2666666666666667,0.1333333333333333,0.09022556390977443,0.06666666666666665,0.015544041450777257,0.8333333333333334,0.2666666666666667,0.8,0.4444444444444444
13,_panic,0.004731861198738141,0.26315789473684215,0.05058365758754868,0.19999999999999996,0.5333333333333333,0.8,0.0025380710659898,0.0024896265560165887,0.008455467869222133,0.33333333333333337,0.06818181818181823,0.4666666666666667,1,1,0.03985507246376807,0.75,0.8333333333333334,0.34883720930232553,0.5333333333333333,0.1333333333333333,0.00041103773326389703,0.01065340909090906,0.011848341232227444,0.011801730920535047,0.09756097560975607,0.007153075822603716,0.06666666666666665,0.0003022852766917383,0.00877192982456143,0.01904761904761909,0.1333333333333333,0.02960526315789469,0.1333333333333333,0.1333333333333333,0.04109589041095896,0.014042126379137376,0.08771929824561409,0.05128205128205132,0.125,0.005725190839694694,0.08771929824561409,0.06593406593406592,0.04635761589403975,0.1333333333333333,0.03114186851211076,0.05785123966942152,0.028037383177570097,0.03977272727272729,0.06000000000000005,0.03037974683544309,0.02970297029702973,0.1333333333333333,0.03978779840848812,0.1333333333333333,0.368421052631579,0.2666666666666667,0.1333333333333333,0.09022556390977443,0.06666666666666665,0.015544041450777257,0.8333333333333334,0.2666666666666667,0.8,0.4444444444444444
14,_uInt64_toAscii,0.038801261829653044,0.1123188405797102,0.22101449275362317,0.10869565217391308,0.02898550724637683,0.03260869565217395,0.0201353637901861,0.024896265560165998,0.06482525366403613,0.04347826086956519,0.1159420289855072,0.04347826086956519,0.03985507246376807,0.03985507246376807,1,0.04347826086956519,0.047101449275362306,0.09420289855072461,0.04347826086956519,0.007246376811594235,0.005179075439125325,0.125,0.15402843601895733,0.12273800157356407,0.10144927536231885,0.15879828326180256,0.01449275362318836,0.004312603280802851,0.15217391304347827,0.12681159420289856,0.007246376811594235,0.1578947368421053,0.010869565217391353,0.01449275362318836,0.12681159420289856,0.12337011033099299,0.09782608695652173,0.1159420289855072,0.0688405797101449,0.08587786259541985,0.09782608695652173,0.11956521739130432,0.1376811594202898,0.007246376811594235,0.11764705882352944,0.14130434782608692,0.14492753623188404,0.13043478260869568,0.09420289855072461,0.1670886075949367,0.14603960396039606,0.007246376811594235,0.16445623342175064,0.007246376811594235,0.05434782608695654,0.02898550724637683,0.007246376811594235,0.1557971014492754,0.03985507246376807,0.1594202898550725,0.047101449275362306,0.010869565217391353,0.03260869565217395,0.05797101449275366
15,_configError,0.0050473186119873725,0.24561403508771928,0.054474708171206254,0.17142857142857137,0.5,0.75,0.002707275803722542,0.0026556016597509835,0.009019165727170209,0.4375,0.07272727272727275,0.4375,0.75,0.75,0.04347826086956519,1,0.6111111111111112,0.32558139534883723,0.5,0.125,0.0004384402488147865,0.011363636363636354,0.018957345971563955,0.011801730920535047,0.1707317073170732,0.012875536480686733,0.0625,0.0003022852766917383,0.021929824561403466,0.023809523809523836,0.125,0.02960526315789469,0.125,0.1875,0.0547945205479452,0.015045135406218657,0.10526315789473684,0.0641025641025641,0.16666666666666663,0.006679389312977069,0.10526315789473684,0.08791208791208793,0.052980132450331174,0.125,0.03806228373702425,0.0826446280991735,0.03738317757009346,0.045454545454545414,0.07999999999999996,0.03544303797468351,0.02970297029702973,0.125,0.03978779840848812,0.125,0.21052631578947367,0.375,0.125,0.08270676691729328,0.0625,0.025906735751295318,0.6111111111111112,0.1875,0.75,0.4444444444444444
16,_crcError,0.005678233438485836,0.3157894736842105,0.05836575875486383,0.24285714285714288,0.4444444444444444,0.6666666666666667,0.003045685279187804,0.002987551867219884,0.01014656144306647,0.2777777777777778,0.08181818181818179,0.38888888888888884,0.8333333333333334,0.8333333333333334,0.047101449275362306,0.6111111111111112,1,0.41860465116279066,0.5,0.11111111111111116,0.0004932452799166764,0.01278409090909094,0.011848341232227444,0.014162077104642012,0.07317073170731703,0.007153075822603716,0.05555555555555558,0.0003627423320301526,0.00877192982456143,0.01904761904761909,0.11111111111111116,0.03618421052631582,0.11111111111111116,0.11111111111111116,0.04109589041095896,0.016048144433299938,0.08771929824561409,0.05128205128205132,0.08333333333333337,0.006679389312977069,0.08771929824561409,0.07692307692307687,0.052980132450331174,0.11111111111111116,0.03114186851211076,0.05785123966942152,0.028037383177570097,0.045454545454545414,0.06000000000000005,0.03544303797468351,0.034653465346534684,0.11111111111111116,0.04774535809018565,0.11111111111111116,0.26315789473684215,0.2222222222222222,0.11111111111111116,0.1127819548872181,0.11111111111111116,0.015544041450777257,1,0.2222222222222222,0.6666666666666667,0.4444444444444444
17,_compressedStreamEOF,0.01356466876971607,0.49122807017543857,0.11284046692607008,0.3571428571428571,0.2325581395348837,0.2790697674418605,0.007275803722504248,0.007136929460580865,0.024239007891770026,0.2558139534883721,0.19090909090909092,0.3023255813953488,0.34883720930232553,0.34883720930232553,0.09420289855072461,0.32558139534883723,0.41860465116279066,1,0.2790697674418605,0.046511627906976716,0.0011783081686899122,0.030539772727272707,0.04502369668246442,0.03147128245476005,0.16279069767441856,0.03147353361945637,0.046511627906976716,0.0008665511265164572,0.052631578947368474,0.042857142857142816,0.046511627906976716,0.09210526315789469,0.046511627906976716,0.09302325581395354,0.10273972602739723,0.03911735205616851,0.21052631578947367,0.1282051282051282,0.18604651162790697,0.017652671755725158,0.21052631578947367,0.13186813186813184,0.11258278145695366,0.046511627906976716,0.07958477508650519,0.1322314049586777,0.11214953271028039,0.10227272727272729,0.12,0.09113924050632916,0.08910891089108908,0.046511627906976716,0.10875331564986734,0.046511627906976716,0.2558139534883721,0.18604651162790697,0.046511627906976716,0.24060150375939848,0.11627906976744184,0.04663212435233166,0.41860465116279066,0.11627906976744184,0.2790697674418605,0.39534883720930236
18,_OUTLINED_FUNCTION_0,0.004416403785488909,0.24561403508771928,0.05058365758754868,0.17142857142857137,0.5714285714285714,0.5714285714285714,0.0023688663282571687,0.002323651452282194,0.007891770011273946,0.4,0.0636363636363636,0.5714285714285714,0.5333333333333333,0.5333333333333333,0.04347826086956519,0.5,0.5,0.2790697674418605,1,0.1428571428571429,0.00038363521771300757,0.009232954545454586,0.018957345971563955,0.010228166797797034,0.1707317073170732,0.011444921316165924,0.0714285714285714,0.0002821329249123039,0.00877192982456143,0.01904761904761909,0.1428571428571429,0.02960526315789469,0.1428571428571429,0.1428571428571429,0.06164383561643838,0.013039117352056206,0.10526315789473684,0.05128205128205132,0.16666666666666663,0.006202290076335881,0.10526315789473684,0.07692307692307687,0.039735099337748325,0.1428571428571429,0.03460207612456745,0.06611570247933884,0.028037383177570097,0.051136363636363646,0.06000000000000005,0.03037974683544309,0.02970297029702973,0.1428571428571429,0.03448275862068961,0.1428571428571429,0.3157894736842105,0.2857142857142857,0.1428571428571429,0.06766917293233088,0.0714285714285714,0.015544041450777257,0.5,0.1428571428571429,0.5714285714285714,0.33333333333333337
19,_OUTLINED_FUNCTION_1,0.0006309148264984632,0.03508771929824561,0.0077821011673151474,0.02857142857142858,0.19999999999999996,0.16666666666666663,0.00033840947546526223,0.0003319502074689007,0.0011273957158962622,0.1333333333333333,0.009090909090909038,0.1428571428571429,0.1333333333333333,0.1333333333333333,0.007246376811594235,0.125,0.11111111111111116,0.046511627906976716,0.1428571428571429,1,0.000054805031101889945,0.0014204545454545858,0.0023696682464454666,0.0015735641227380137,0.024390243902439046,0.0014306151645206988,0.25,0.00004030470355886884,0.004385964912280715,0.00952380952380949,0.5,0.003289473684210509,0.5,0.4,0.006849315068493178,0.0020060180541624506,0.01754385964912286,0.012820512820512775,0.04166666666666663,0.0004770992366411875,0.01754385964912286,0.02197802197802201,0.013245033112582738,1,0.00692041522491349,0.016528925619834656,0.01869158878504673,0.005681818181818232,0.020000000000000018,0.005063291139240533,0.004950495049504955,0.6666666666666667,0.0053050397877983935,0.6666666666666667,0.10526315789473684,0.2222222222222222,0,0.015037593984962405,0.0714285714285714,0.005181347150259086,0.11111111111111116,0.4,0.16666666666666663,0.11111111111111116
